employer,industry
S&P Global,Engineering
The Boston Consulting Group,Human Resources
"JPMorgan Chase Bank, N.A.",Engineering
Amatra Hotels & Resorts,Social Media
Spade Solutions,Bpo
freshermart,IT
Vodafone,Sales
Techwave Consulting Inc,Engineering
Bonjour,Networking
Citi,IT
Epsilon India,Management
Prolific HR Consultants India Limited,Sales
Onit,Human Resources
Accenture,Accounting
King Stubb & Kasiva,Admin
Wabtec,Engineering
NTT DATA Services,IT
Kiran Silver,Marketing
Kotumb Digital Empowerment and Careers Private Limited,Human Resources
Fox Media Hub,Publishing
Bhartia Management Consultancy,Admin
Genpact,Government
Cynosure Corporate Solutions,IT
TE Connectivity,Management
"JPMorgan Chase Bank, N.A.",Management
Skava,Engineering
Bayer,IT
iTool Solutions,IT
DXC Technology India,Engineering
Cerence,Engineering
Riju Karan (Proprietor Of Toyota Climax India),Engineering
ThoughtFocus,IT
Micron,Engineering
KIMS HOSPITALS ENTERPRISES PVT LTD,Human Resources
Jai Malanath Security Services,Marketing
NatWest Group,Manufacturing
Matrix Weighing Systems,Facilities
D Source,IT
NHSRC,Healthcare
Forexparamount,Admin
Enphase Energy,Engineering
Mason's Mark - MakeMyHouse Indore,Manufacturing
NSC Global,Manufacturing
Tekpillar services,Human Resources
Lionbridge Technologies,Engineering
aggarwal pvt ltd,Sales
Soroco,Automation
Mechatron Robotics,IT
DVN ITSOLUTIONS,Management
Support.com India Private Limited,Security
Standard Chartered,Admin
Clairvoyant,Engineering
IM Solutions,Publishing
"JPMorgan Chase Bank, N.A.",Education
Disys India Private Limited,Customer Service
Citi,Manufacturing
Cvent,PR
Best Company,Computer
NTT DATA Services,Construction
Hrimkar Creations Pvt Ltd,Admin
Assetmax Interiors Pvt.Ltd.,Accounting
Matrix Agri Ventures Pvt Ltd,Human Resources
R.K Associates Valuers & Techno Engineering Consultants Private Limited,Finance
Phenom People,Manufacturing
Mantra Labs,IT
Zestmoney,Management
Coforge,IT
Panagora Group,Security
Global Lancers,Marketing
PROLIM Corporation,Management
NGA Human Resources,Finance
"JPMorgan Chase Bank, N.A.",Scientific
Holiday Inn,Hospitality
skilora,Management
SLK Software,Engineering
IKEA,Accounting
Honeywell,Customer Service
InfoSystem & Solutions,IT
Deutsche Bank,Bank
Standard Chartered,Manufacturing
Global Kidz,Management
ANI Calls India Private Limited,Manufacturing
Sartorius Corporation,IT
PwC,Manufacturing
Riverforest Connections,Human Resources
(Proprietor Of Birla Technology),Human Resources
Udaan,Management
Dr Y. S. Parmar University of Horticulture and Forestry,Agriculture
Sign On Solutions Private Limited,Engineering
Cognizant,Manufacturing
Genpact,Logistics
Micron,Automation
Montek Tech Services Private Limited,Arts
Intertec Systems,Manufacturing
bigcat realty,Sales
IBM,Admin
Mithi Software Technologies Pvt. Ltd.,Engineering
Aptiv,Manufacturing
MORE,Manufacturing
growel softech,IT
Neles,Engineering
Barclays,Engineering
Tech Enterprise,Sales
Accenture,IT
Client of hajra group,Admin
RB Pvt ltd,Customer Service
ASAP Staffing Solutions,Human Resources
Cloudray India Private Limited,Accounting
F and J Direct,Manufacturing
Corporate Ladder Consultants,Travel
NTT DATA Services,Engineering
GetStaff,Management
Ultrafly Connexions,IT
BlackRock,Management
SITA,IT
IM Solutions,Networking
Accenture,Consultant
Springer Nature,Medical
hdb financial services,Customer Service
MASS WHEELS PVT LTD,Sales
Optymyze,Management
Globals Inc.,IT
iTool Solutions,Human Resources
opentext,Accounting
Targray,Human Resources
Idea Usher,Marketing
Actonate IT Solutions,IT
"Logon Services PVT,LTD",Security
Accenture,Management
McFadyen Digital,Management
SySpree Solutions,Admin
Jacobs,Pharmaceutical
Oracle,Engineering
ChargePoint,IT
IDP Education Ltd,Sales
Arcadis,Engineering
Dell Technologies,IT
IAppTunes,Arts
VISTAAR Educate Private Limited,Marketing
Innerwork Solutions Pvt.Ltd,Arts
Standard Chartered,Management
Goldman Sachs,Bank
Eaton,Manufacturing
Bausch Health,Sales
Silicon Valley Bank,Scientific
State Street Corporation,Construction
Solitaire Infotech Solution,Hospitality
Morgan Stanley,Telecommunication
Udaan,Sales
"JPMorgan Chase Bank, N.A.",Services
GoDigi Infotech,Admin
Macquarie Group Limited,Bank
PMJ Gems and Jewellers PVT LTD,PR
Meddy,Accounting
Matrix Weighing Systems,Admin
Oloop Technology Solutions Private Limited,Management
Vudum Srinu (Proprietor Of Suncity Star Technology),Fresher
Shaleen Management Consultants,Engineering
Bada Vyapaar,Marketing
ycw placement,IT
CIK Telecom India Private Limited,Engineering
jobs in india,Admin
Lionbridge Technologies,Admin
"JPMorgan Chase Bank, N.A.",Healthcare
Accenture,Manufacturing
MSR India,Advertising
The Sociobuzz,Social Media
Hilton Software Technologies,IT
CDK Global,Bank
Oracle,IT
Heritage Foods,Management
Blue Yonder,Human Resources
kGn Recruiter,Customer Service
Oracle,Manufacturing
Brand Provoke Consultants,IT
Siemens Technology and Services Private Limited,IT
Fidelity International,Engineering
Oracle,Management
Jobsprovider,Admin
Citi,Healthcare
Medtronic,Engineering
Global Kidz,Marketing
Brunel India Private Limited,Management
Time Equipment Pvt Ltd,IT
Bajaj Allianz General Insurance Company,Admin
Ernst & Young,Consultant
"JPMorgan Chase Bank, N.A.",Logistics
Tekskills India Private Limited,Engineering
Adobe,Networking
Windows Consultants Pvt. Ltd.,Consultant
Refinitiv,Recruitment
NICE,Sales
UCO Bank,Scientific
Rexon-Proserv,Government
vibinyo solutions pvt ltd,Logistics
Sanap & Associates,Marketing
Fourbrick Technology OPC Pvt. Ltd.,IT
Uttarakhand Subordinate Service Selection Commission (UK SSSC),Computer
Ericsson,Engineering
Avin Systems,Engineering
Juniper Networks,Management
Computer Engineer,Engineering
StarClinch,Advertising
ITILITE,Manufacturing
Vipany Group,IT
Dell Technologies,Government
Symphony Talent,IT
Minda Solution Tech Mark,Arts
Emerson,Management
Anagha Energy and Infrastructure Pvt Ltd,Sales
Venido Cab Services Private Limited,IT
Virtual Galaxy InfoTech Pvt Ltd,IT
Unicorn DenMart,PR
Reliance Jio Infocomm Limited,Management
OFSS,Bank
ANI Calls India Private Limited,Management
"JPMorgan Chase Bank, N.A.",Telecommunication
IBM,Consultant
Talent Zone Consultants,Consultant
Nuvia Inc,Engineering
Ernst & Young,Travel
S&P Global,Logistics
