index,skill,count,keep
2414,machine learning,479,y
1086,data,404,
3982,statistics,364,y
515,business,359,
3347,python,352,y
860,computer science,350,y
1224,data science,313,
138,algorithms,228,y
2528,mathematics,224,y
1663,engineering,221,y
811,communication,204,y
221,analytics,192,y
3414,r,180,y
3534,research,167,y
1431,design,140,y
156,analysis,129,y
1468,development,128,y
3275,programming,128,y
1173,data mining,128,y
2260,java,127,y
1380,deep learning,121,y
169,analytical,120,y
806,communicate,115,y
1666,english,114,y
3931,statistical,104,y
3023,physics,102,y
4221,technology,97,
1459,developing,96,y
1239,data sets,96,y
4141,technical,95,
778,collaborate,94,y
1455,develop,91,y
4071,support,90,
424,big data,86,y
1093,data analysis,81,y
4220,technologies,80,
1612,economics,78,y
1270,data visualization,75,y
2165,insights,75,y
3632,scala,73,y
1346,datasets,73,y
3226,production,70,
2487,marketing,69,y
2750,natural language processing,68,y
235,analyze,67,y
2334,leadership,66,y
4322,training,64,y
2342,learning,63,y
592,c++,61,y
3841,software development,60,y
2899,optimization,60,y
3278,programming languages,60,y
2890,operations research,59,y
745,clustering,59,y
2076,implement,59,
3165,problem solving,57,y
2455,management,56,y
2674,modeling,55,y
3484,regression,54,y
781,collaboration,53,y
270,applied mathematics,53,y
2079,implementation,52,
2512,mathematical,51,y
2510,math,51,y
4530,writing,51,y
4258,testing,50,
3113,presentation,49,y
3934,statistical analysis,48,y
1099,data analytics,48,y
2322,languages,47,y
3101,predictive modeling,47,y
4469,visualization,46,y
2690,models,46,y
3842,software engineering,46,y
298,artificial intelligence,46,y
4532,written,45,y
2219,interpersonal,45,y
3169,problem-solving,45,y
108,ai,44,y
1446,designing,44,y
2083,implementing,44,
3522,reporting,44,y
3836,software,43,
1198,data processing,43,y
1243,data sources,43,
2592,methodologies,43,y
3192,product,43,
2285,keras,42,y
1783,finance,42,y
2613,ml,42,y
2333,lead,42,y
3665,science,42,y
1336,databases,41,y
3700,scripting,40,y
783,collaborative,40,y
2780,neural networks,39,y
2582,mentor,39,y
751,code,39,
1287,data-driven,38,
4237,tensorflow,38,y
1421,deploying,38,
1085,dashboards,38,y
2448,manage,38,y
3529,reports,37,y
3631,sas,37,y
763,coding,37,y
979,creative,36,y
3104,predictive models,36,y
2583,mentoring,35,y
810,communicating,35,y
2683,modelling,34,y
2978,performance,34,
261,applications,33,
4006,strategic,33,
1132,data engineering,33,y
2788,nlp,33,y
2152,innovation,33,y
3359,pytorch,32,y
153,analyses,32,y
3965,statistical models,31,y
1826,forecasting,31,y
2156,innovative,31,y
322,attention to detail,31,y
1419,deploy,30,y
3116,presentations,30,y
4519,work independently,30,y
3202,product development,29,y
3723,segmentation,29,y
3506,relational databases,29,y
4102,systems,29,
209,analytical skills,28,y
1114,data collection,28,y
2070,impact,28,
4268,text mining,28,y
240,analyzing,28,y
2810,numpy,28,y
912,consulting,27,
3186,processing,27,y
2350,libraries,27,y
1840,frameworks,27,y
1178,data modeling,27,y
3962,statistical modeling,27,y
721,cloud,26,y
4241,test,26,
545,business intelligence,26,y
511,building,26,
356,automation,26,y
4025,strategy,26,
1166,data management,25,y
1254,data structures,25,y
2910,optimize,25,y
2636,model,25,y
3277,programming language,25,y
2461,managing,25,y
1608,econometrics,24,y
867,computer vision,24,y
1561,documentation,24,y
3090,predictive analytics,24,y
3742,self-motivated,24,y
275,applied statistics,24,y
3668,scientific,24,
2704,monitoring,23,
587,c,23,y
2700,monitor,23,
3117,presenting,23,y
3252,professional,23,
4414,validation,23,
3374,quantitative,23,
2531,matlab,23,y
1615,education,23,
1182,data models,22,y
1214,data quality,22,
1396,deliver,22,
148,analyse,22,y
1186,data pipelines,22,y
3289,project management,22,y
3621,sales,22,y
1400,delivery,22,
3153,probability,22,y
3805,simulation,22,y
1424,deployment,21,y
728,cloud computing,21,y
1362,decision making,21,y
1372,decision trees,21,y
3327,prototyping,21,y
2882,operational research,21,y
2339,learn,21,y
3036,planning,21,y
1745,experiments,20,
2398,logistic regression,20,y
1004,critical thinking,20,y
1316,database,20,y
1545,distributions,20,y
589,c#,20,y
1806,financial services,20,y
3784,services,19,
788,collaboratively,19,y
4023,strategies,19,
988,creativity,19,y
125,algorithm,19,y
4088,svm,19,y
1268,data visualisation,19,y
567,business processes,19,y
443,big data technologies,19,y
1277,data warehousing,19,y
335,automate,18,
3885,spark,18,y
2886,operations,18,
2336,leading,18,y
3720,security,18,
3960,statistical methods,18,y
3964,statistical modelling,18,y
2857,open source,17,y
293,articulate,17,y
2593,methodology,17,
4114,tableau,17,y
3977,statistical testing,17,y
1734,experiment,17,
1740,experimentation,17,
85,agile,17,y
1785,financial,17,y
780,collaborating,16,y
544,business insights,16,y
1845,french,16,y
39,acquisition,16,
2952,pandas,16,y
3185,processes,16,
2421,machine learning models,16,y
2997,perl,16,y
830,compliance,16,
1905,german,16,y
505,build,16,
516,business acumen,15,y
269,applied math,15,y
2116,influence,15,
1059,customer segmentation,15,y
1737,experimental design,15,y
750,coaching,15,y
1135,data exploration,15,y
2183,integration,15,
4291,time series analysis,14,y
3246,productivity,14,y
3747,self-starter,14,y
2936,organize,14,y
68,advanced analytics,14,y
813,communications,14,y
1526,distributed computing,14,y
3499,reinforcement learning,14,y
2056,image processing,14,y
286,architecture,14,y
855,computer engineering,14,y
3376,quantitative analysis,14,y
2649,model development,14,y
4438,version control,14,y
1755,exploratory data analysis,14,y
131,algorithmic,13,
2595,methods,13,
4396,user experience,13,y
1728,excel,13,y
2926,organizational,13,
1667,english language,13,y
2262,javascript,13,y
1706,etl,13,y
43,actionable insights,13,y
1025,customer,13,
3543,researching,13,y
4461,visualisation,13,y
2660,model performance,13,y
3476,reduction,13,
1716,evaluation,13,
2441,maintaining,13,
2584,mentorship,13,y
1168,data manipulation,13,y
1155,data integration,12,y
3324,prototype,12,y
1993,healthcare,12,y
2131,information retrieval,12,y
455,bioinformatics,12,y
1596,e-commerce,12,y
2240,investment,12,
212,analytical techniques,12,y
217,analytical tools,12,y
2415,machine learning algorithms,12,y
3976,statistical techniques,12,y
2149,innovate,12,y
2871,operational,12,y
524,business analytics,12,y
3520,report,12,y
683,cleansing,12,y
1554,document,12,y
3707,search,12,y
1281,data wrangling,12,y
4094,system,12,
154,analysing,12,y
3867,solve problems,12,y
3326,prototypes,12,y
2221,interpret,12,y
2470,manipulation,12,y
4140,teamwork,12,y
2761,network analysis,12,y
1472,devops,12,
3215,product management,12,y
2317,language,12,y
4409,validate,12,
1101,data architecture,12,y
3978,statistical tests,11,y
1263,data transformation,11,y
4332,transfer learning,11,y
4334,transformation,11,y
3103,predictive modelling,11,y
46,active learning,11,y
1541,distributed systems,11,y
382,banking,11,y
4321,train,11,y
3657,scale,11,
4518,work ethic,11,y
2292,knowledge,11,
4516,work,11,
3425,random forests,11,y
3637,scalable,11,y
3408,querying,11,y
1042,customer experience,11,y
3254,professional development,11,y
4432,verbal,11,y
873,computing,11,
3125,pricing,11,y
3330,psychology,11,y
2466,manipulate,11,
2440,maintain,11,
655,chemistry,11,y
1373,decision-making,11,y
1092,data analyses,11,y
3689,scipy,11,y
2186,integrity,11,y
4062,supply chain,11,y
2444,maintenance,10,
1511,discovery,10,y
1357,debugging,10,y
3556,responsibility,10,
2279,jupyter notebooks,10,y
1490,digital marketing,10,y
1629,electrical engineering,10,y
3399,queries,10,y
1358,decision,10,
3064,powerbi,10,y
3032,pipelines,10,y
4472,visualizations,10,y
