,id,skill,type
0,4148184020.0,interesse innovativen technologie,
0,4148184018.0,interesse innovativen technologie,
0,4203393208.0,artificial intelligence machine,
1,4203393208.0,data scientist,
2,4203393208.0,main duties responsibilities job,
3,4203393208.0,stateoftheart methods,
4,4203393208.0,nlp machine,
5,4203393208.0,aiapplying nlp methods,
6,4203393208.0,insights,
7,4203393208.0,text email messagesapplying,
8,4203393208.0,supervised semisupervised machine,
9,4203393208.0,approaches,
10,4203393208.0,classification large scale datasets,
11,4203393208.0,cybersecurity domain,
12,4203393208.0,bespoke interactive visualisation tool,
13,4203393208.0,endusers,
14,4203393208.0,machine,
15,4203393208.0,component skills qualifications experience,
16,4203393208.0,3 years,
17,4203393208.0,visual analytics machine,
18,4203393208.0,data visualisation nlp data scienceexpertise,
19,4203393208.0,natural language processing,
20,4203393208.0,active learningminimum,
21,4203393208.0,3 years,
22,4203393208.0,research,
23,4203393208.0,machine,
24,4203393208.0,information visualisationproven industry experience machine,
25,4203393208.0,information visualisationproficient pythonexperience research development,
26,4203393208.0,large scale projects,
27,4203393208.0,cybersecurityexperience,
28,4203393208.0,machine,
29,4203393208.0,libraries,
30,4203393208.0,big data spacy gensim nltk sparkml experience,
31,4203393208.0,bespoke interactive data visualisation tools,
32,4203393208.0,d3js reactproven track record publications,
33,4203393208.0,top journals conferences,
34,4203393208.0,tvcg,
0,4202983361.0,demonstrable handson experience,
1,4202983361.0,machine learning,
2,4202983361.0,models,
3,4202983361.0,production environmentsfamiliar offline batch online livestream data pipelinesadvanced python,
4,4202983361.0,sklearn numpy pandas,
5,4202983361.0,least intermediate level java c,
6,4202983361.0,sql queries,
7,4202983361.0,data,
8,4202983361.0,internal datastoreprior exposure atlassian suite jira confluence stash similarrigorous attention detailability work,
9,4202983361.0,crossfunctional environment,
10,4202983361.0,cooperation commercial devops teams,
0,4136717842.0,fundamental research work,
1,4136717842.0,deep,
2,4136717842.0,different types data,
3,4136717842.0,categorical temporal etc,
4,4136717842.0,data pipelines,
5,4136717842.0,data processing,
6,4136717842.0,testing,
7,4136717842.0,deep learning algorithms,
8,4136717842.0,underlying problem,
9,4136717842.0,model deployment,
10,4136717842.0,performance,
11,4136717842.0,documentation,
12,4136717842.0,models,
13,4136717842.0,development materials analysis project proposals,
14,4136717842.0,proof concepts,
15,4136717842.0,solutions strategies business challenges,
16,4136717842.0,deep learning,
17,4136717842.0,bachelor degree data science computer science math statistics,
19,4136717842.0,related program study,
20,4136717842.0,2 years,
21,4136717842.0,hands-on experience,
22,4136717842.0,python,
23,4136717842.0,numpy pandas,
24,4136717842.0,strong grasp,
25,4136717842.0,computer science fundamentals algorithms,
26,4136717842.0,data structures,
27,4136717842.0,design patterns,
28,4136717842.0,background statistical modelling data,
29,4136717842.0,deep learning experience tensorflow keras,
30,4136717842.0,deep learning frameworks,
31,4136717842.0,previous experience,
32,4136717842.0,training,
33,4136717842.0,machine,
34,4136717842.0,algorithms,
35,4136717842.0,strong asset experience cloud services,
36,4136717842.0,docker serverless technologies experience,
37,4136717842.0,jupyter notebooks,
38,4136717842.0,previous experience,
39,4136717842.0,cnns andor rnns,
40,4136717842.0,lstm temporal data,
41,4136717842.0,previous experience,
42,4136717842.0,vision andor unstructured data,
43,4136717842.0,previous experience,
44,4136717842.0,evolutionarygenetic algorithms,
45,4136717842.0,experience,
46,4136717842.0,reduction techniques,
0,4133581885.0,least one ml related technologies,
1,4133581885.0,azure ml mllib h20 scikit,
2,4133581885.0,various r packages hands,
3,4133581885.0,either r python data prep,
4,4133581885.0,leadership ds overall workflow methodology,
5,4133581885.0,need move systems production support,
6,4133581885.0,leadership mentoring,
7,4133581885.0,training data scientists,
8,4133581885.0,client,
9,4133581885.0,experience,
10,4133581885.0,knowledge emerging domains,
11,4133581885.0,deep learning,
12,4133581885.0,frameworks,
