,id,skill,category,confidence score
0,4148184020.0,technologie-themen,Skill,0.84
1,4148184018.0,technologie-themen,Skill,0.84
2,4203393208.0,artificial intelligence,Skill,0.91
3,4203393208.0,machine learning,Skill,0.83
4,4203393208.0,data scientist**,PersonType,0.71
5,4203393208.0,machine learning,Skill,0.96
6,4203393208.0,machine learning,Skill,0.99
7,4203393208.0,datasets,Skill,0.8
8,4203393208.0,cybersecurity,Skill,0.87
9,4203393208.0,developing,Skill,0.62
10,4203393208.0,interactive visualisation,Skill,0.63
11,4203393208.0,endusers,PersonType,0.66
12,4203393208.0,machine learning,Skill,0.69
13,4203393208.0,3,Quantity,0.8
14,4203393208.0,visual analytics,Skill,0.98
15,4203393208.0,machine learning,Skill,0.96
16,4203393208.0,data visualisation,Skill,0.97
17,4203393208.0,data science,Skill,0.89
18,4203393208.0,natural language processing,Skill,0.98
19,4203393208.0,visualisationsupported,Skill,0.9
20,4203393208.0,active learning,Skill,0.82
21,4203393208.0,3 years,DateTime,0.8
22,4203393208.0,research,Skill,0.88
23,4203393208.0,machine learning,Skill,0.98
24,4203393208.0,information visualisation,Skill,0.98
25,4203393208.0,machine learning,Skill,0.97
26,4203393208.0,information visualisation,Skill,0.98
27,4203393208.0,python,Skill,0.62
28,4203393208.0,python,Product,0.49
29,4203393208.0,research,Skill,0.91
30,4203393208.0,development,Skill,0.86
31,4203393208.0,cybersecurity,Skill,0.88
32,4203393208.0,machine learning,Skill,0.86
33,4203393208.0,big data,Skill,0.65
34,4203393208.0,interactive,Skill,0.63
35,4203393208.0,data visualisation,Skill,0.63
36,4203393208.0,10%,Quantity,0.8
37,4202983361.0,deploying,Skill,0.85
38,4202983361.0,maintaining,Skill,0.78
39,4202983361.0,machine learning,Skill,0.98
40,4202983361.0,data,Skill,0.81
41,4202983361.0,python,Skill,0.88
42,4202983361.0,numpy,Skill,0.59
43,4202983361.0,java,Skill,0.89
44,4202983361.0,c#,Skill,0.94
45,4202983361.0,queries,Skill,0.49
46,4202983361.0,data,Skill,0.66
47,4202983361.0,datastore,Skill,0.7
48,4202983361.0,confluence,Skill,0.44
49,4202983361.0,stash,Skill,0.61
50,4202983361.0,attention to detail,Skill,0.97
51,4202983361.0,cooperation,Skill,0.97
52,4202983361.0,commercial,Skill,0.84
53,4202983361.0,devops,Skill,0.98
54,4136717842.0,research,Skill,0.82
55,4136717842.0,deep learning,Skill,0.99
56,4136717842.0,data,Skill,0.8
57,4136717842.0,data pipelines,Skill,0.8
58,4136717842.0,data processing,Skill,0.67
59,4136717842.0,cleansing,Skill,0.99
60,4136717842.0,integrating,Skill,0.55
61,4136717842.0,developing,Skill,1.0
62,4136717842.0,testing,Skill,1.0
63,4136717842.0,deep learning,Skill,1.0
64,4136717842.0,algorithms,Skill,0.69
65,4136717842.0,model deployment,Skill,1.0
66,4136717842.0,model deployment,Event,0.67
67,4136717842.0,developing,Skill,0.9
68,4136717842.0,documentation,Skill,0.97
69,4136717842.0,development,Skill,0.99
70,4136717842.0,materials,Skill,0.81
71,4136717842.0,analysis,Skill,0.96
72,4136717842.0,project proposals,Skill,0.97
73,4136717842.0,proof of concepts,Skill,1.0
74,4136717842.0,strategies,Skill,0.94
75,4136717842.0,deep learning,Skill,0.99
76,4136717842.0,degree,Quantity,0.8
77,4136717842.0,data science,Skill,0.99
78,4136717842.0,computer science,Skill,0.99
79,4136717842.0,math,Skill,0.95
80,4136717842.0,statistics,Skill,0.99
81,4136717842.0,engineering,Skill,0.99
82,4136717842.0,2,Quantity,0.8
83,4136717842.0,numpy,Skill,0.98
84,4136717842.0,pandas,Skill,0.7
85,4136717842.0,scipy,Skill,0.96
86,4136717842.0,computer science,Skill,1.0
87,4136717842.0,algorithms,Skill,1.0
88,4136717842.0,data structures,Skill,1.0
89,4136717842.0,design patterns,Skill,1.0
90,4136717842.0,statistical modelling,Skill,1.0
91,4136717842.0,data mining,Skill,1.0
92,4136717842.0,deep learning,Skill,1.0
93,4136717842.0,tensorflow,Product,0.43
94,4136717842.0,keras,Skill,1.0
95,4136717842.0,deep learning,Skill,0.99
96,4136717842.0,designing,Skill,1.0
97,4136717842.0,training,Skill,1.0
98,4136717842.0,debugging,Skill,1.0
99,4136717842.0,evaluating,Skill,0.86
100,4136717842.0,machine learning,Skill,0.97
101,4136717842.0,algorithms,Skill,0.59
102,4136717842.0,cloud services,Skill,0.97
103,4136717842.0,jupyter notebooks,Product,0.86
104,4136717842.0,cnns,Skill,0.99
105,4136717842.0,lstm,Skill,0.98
106,4136717842.0,temporal data,Skill,1.0
107,4136717842.0,computer vision,Skill,1.0
108,4136717842.0,unstructured data,Skill,1.0
109,4136717842.0,evolutionary,Skill,0.95
110,4136717842.0,genetic algorithms,Skill,0.95
111,4136717842.0,reduction,Skill,0.95
112,4136717842.0,data visualization,Skill,1.0
113,4133581885.0,one,Quantity,0.8
114,4133581885.0,ml,Quantity,0.8
115,4133581885.0,technologies,Skill,0.9
116,4133581885.0,ml,Quantity,0.8
117,4133581885.0,h20,Product,0.5
118,4133581885.0,data prep,Skill,0.99
119,4133581885.0,modeling.,Skill,0.9
120,4133581885.0,leadership,Skill,0.78
121,4133581885.0,workflow,Skill,0.72
122,4133581885.0,methodology,Skill,0.63
123,4133581885.0,production,Skill,0.96
124,4133581885.0,support,Skill,0.93
125,4133581885.0,leadership,Skill,0.99
126,4133581885.0,mentoring,Skill,0.99
127,4133581885.0,training,Skill,0.98
128,4133581885.0,data scientists,PersonType,0.97
129,4133581885.0,client facing,Skill,0.94
130,4133581885.0,client,PersonType,0.62
131,4133581885.0,deep learning,Skill,0.98
132,4133581885.0,frameworks,Skill,0.7
133,4133581885.0,cntk,Skill,0.84
134,4133581885.0,keras,Skill,0.55
135,4133581885.0,distributed analytics,Skill,0.88
136,4133581885.0,microsoft,Organization,0.59
137,4133581885.0,map reduce framework,Skill,0.77
138,4133581885.0,parallel,Skill,0.87
139,4133581885.0,distributed processing,Skill,0.78
140,4133581885.0,analytical,Skill,0.67
141,4133581885.0,languages,Skill,0.97
142,4133581885.0,libraries,Skill,0.98
143,4133581885.0,sas,Skill,1.0
144,4133581885.0,spss,Skill,0.99
145,4133581885.0,mahout,Skill,0.47
146,4133581885.0,languages,Skill,0.89
147,4133581885.0,java,Skill,1.0
148,4133581885.0,f#,Skill,1.0
149,4133581885.0,c#,Skill,1.0
150,4133581885.0,c++,Skill,1.0
151,4122335668.0,customers,PersonType,0.98
152,4122335668.0,consultants,PersonType,0.99
153,4122335668.0,business,Skill,0.66
154,4122335668.0,data,Skill,0.52
155,4122335668.0,systems,Skill,0.81
156,4122335668.0,data driven,Skill,0.8
157,4122335668.0,ambassador,PersonType,0.87
158,4122335668.0,role model,PersonType,0.58
159,4122335668.0,data exploration,Skill,0.89
160,4122335668.0,predictive,Skill,0.67
161,4122335668.0,coach,Skill,0.86
162,4122335668.0,data scientists,PersonType,0.94
163,4122335668.0,analysts,PersonType,0.97
164,4122335668.0,5,Quantity,0.8
165,4122335668.0,data science,Skill,0.97
166,4122335668.0,degree,Quantity,0.8
167,4122335668.0,data,Skill,0.54
168,4122335668.0,analytical,Skill,0.73
169,4122335668.0,data,Skill,0.64
170,4122335668.0,communicate,Skill,0.87
171,4122335668.0,strategies,Skill,0.79
172,4122335668.0,creative,Skill,0.91
173,4122335668.0,data,Skill,0.67
174,4122335668.0,communication,Skill,0.86
175,4122335668.0,python,Product,0.48
176,4122335668.0,scala,Product,0.43
177,4122335668.0,sagemaker,Organization,0.62
178,4122335668.0,databricks,Product,0.89
179,4122335668.0,budget,Skill,0.68
180,4122335668.0,training,Skill,0.67
181,4122335668.0,support,Skill,0.4
182,4165170932.0,degree,Quantity,0.8
183,4165170932.0,mathematics,Skill,0.99
184,4165170932.0,statistics,Skill,1.0
185,4165170932.0,economics,Skill,1.0
186,4165170932.0,statistician,PersonType,0.97
187,4165170932.0,data analyst,PersonType,0.88
188,4165170932.0,mathematician,PersonType,0.97
189,4165170932.0,evaluating,Skill,0.8
190,4165170932.0,probabilities,Skill,0.83
191,4165170932.0,statistics,Skill,0.97
192,4165170932.0,statistical modeling,Skill,0.99
193,4165170932.0,graphic analysis,Skill,0.93
194,4165170932.0,charts,Skill,0.66
195,4165170932.0,interpret data,Skill,0.77
196,4165170932.0,analyze,Skill,0.87
197,4165170932.0,statistical techniques,Skill,0.78
198,4165170932.0,data sets,Skill,0.85
199,4164872960.0,scientific,Skill,0.94
200,4164872960.0,analytics,Skill,1.0
201,4164872960.0,visualization,Skill,0.99
202,4164872960.0,python,Skill,0.99
203,4164872960.0,python,Product,0.51
204,4164375366.0,algorithm,Skill,0.97
205,4164375366.0,algorithms,Skill,1.0
206,4164375366.0,analysis,Skill,0.99
207,4164375366.0,time series models,Skill,1.0
208,4164375366.0,machine learning,Skill,0.99
209,4164375366.0,modelling,Skill,1.0
210,4164375366.0,analytics,Skill,1.0
211,4164375366.0,data science,Skill,0.98
212,4164375366.0,designing,Skill,0.97
213,4164375366.0,implementing,Skill,0.9
214,4164375366.0,frameworks,Skill,0.98
215,4164375366.0,msc,PersonType,0.5
216,4164375366.0,statistics,Skill,0.98
217,4164375366.0,applied mathematics,Skill,0.98
218,4164375366.0,computer science,Skill,0.99
219,4164375366.0,physics,Skill,0.98
220,4164375366.0,oxford,Organization,0.86
221,4164375366.0,cambridge,Organization,0.77
222,4164375366.0,harvard,Organization,0.81
223,4164375366.0,statistical modelling,Skill,1.0
224,4164375366.0,data science,Skill,0.94
225,4164375366.0,ml,Quantity,0.8
226,4164375366.0,time series analysis,Skill,0.99
227,4164375366.0,outlier detection,Skill,0.96
228,4164375366.0,python,Skill,0.62
229,4164375366.0,libraries,Location,0.53
230,4164375366.0,r,Skill,0.7
231,4163539797.0,algorithmic r&d,Skill,0.99
232,4163539797.0,speech,Skill,0.94
233,4163539797.0,vision data,Skill,0.93
234,4163539797.0,ml,Quantity,0.8
235,4163539797.0,video analytics,Skill,0.98
236,4163539797.0,analytics.work,Organization,0.9
237,4163539797.0,data,Skill,0.82
238,4163539797.0,customers,PersonType,0.95
239,4163539797.0,constraints.work,Organization,0.9
240,4163539797.0,product,Skill,0.6
241,4163539797.0,engineering,Skill,0.95
242,4163539797.0,designing,Skill,0.98
243,4163539797.0,implementing,Skill,0.9
244,4163539797.0,cs,Skill,0.94
245,4163539797.0,physics,Skill,0.99
246,4163539797.0,7 years,DateTime,0.8
247,4163539797.0,machine learning,Skill,0.99
248,4163539797.0,data mining theory,Skill,0.99
249,4163539797.0,algorithms,Skill,0.99
250,4163539797.0,algorithm development,Skill,0.99
251,4163539797.0,algorithmic coding,Skill,0.99
252,4163539797.0,real data testing,Skill,0.88
253,4163539797.0,programming,Skill,0.93
254,4163539797.0,python,Skill,1.0
255,4163539797.0,c#,Skill,1.0
256,4163539797.0,c++,Skill,1.0
257,4163539797.0,java,Skill,1.0
258,4163539797.0,collaborative technical,Skill,0.59
259,4163539797.0,implementation,Skill,0.83
260,4163539797.0,communication,Skill,0.83
261,4163539797.0,customers,PersonType,0.88
262,4163539797.0,team,PersonType,0.59
263,4163539797.0,player,PersonType,0.42
264,4199598495.0,degree,Quantity,0.8
265,4199598495.0,systems biology,Skill,0.97
266,4199598495.0,data science,Skill,1.0
267,4199598495.0,engineering,Skill,1.0
268,4199598495.0,modeling,Skill,0.89
269,4199598495.0,applied mathematics,Skill,0.98
270,4199598495.0,physics,Skill,0.99
271,4199598495.0,research,Skill,0.71
272,4199598495.0,oncology,Skill,0.99
