,posting_date,description,title,employer,industry,id,source,country
0,"Sep 6, 2019",<strong>encadrer les choix</strong>.<strong>travailler en collaboration</strong>.ce.,Lead Data Engineer (H/F),CarBoat Media,,38299,Glassdoor,FR
1,"Sep 5, 2019","work in our office in .make big data useful (build program code, test and deploy to various environments, design and optimize data processing algorithms for our customers).apply your .be a .prioritize tasks efficiently, evaluating and balancing the needs of all stakeholders.strong experience in developing software using .proven experience with data ingestion, analysis, integration, and design of big data applications using .profound knowledge about with data engineering technology, e.g. .strong background in developing on .solid computer science fundamentals (algorithms, data structures and programming skills in distributed systems).fascinating tasks and unique big data challenges of major players from various industries (automotive, insurance, telecommunication, etc.).fair pay and bonuses.work with our open-source big data gurus, such as our apache hbase committer and release manager.international diverse team.possibility to work with the open-source community and become a contributor.work with cutting edge equipment and tools.big data: 4 years (required).spanish (required).english (required).",Senior Data Engineer / Architect,Ultra Tendency GmbH,,4509,Glassdoor,ES
2,"Sep 5, 2019",interesse an innovativen technologie-themen.,Young Professional Consultant (w/m/d) Analytics / Data Scientist,Camelot ITLab GmbH,Consulting,152120,Glassdoor,
3,"Sep 4, 2019",<strong>committed researchers.</strong>.<strong>analytical thinkers.</strong>.<strong>team players.</strong>.<strong>data enthusiasts.</strong>.,"Summer Intern, Data Science & Engineering",HSBC Bank Canada,Insurance Agencies & Brokerages,27592,Glassdoor,CA
4,"Sep 30, 2019","architecture big data : hadoop (hortonworks, cloudera), elastic search, azure, aws.",Data Analyst - Big Data - Energy & Utilities - Île-de,Sopra-Steria,IT Services,56628,Glassdoor,France
5,"Sep 27, 2019","*artificial intelligence/ machine learning data scientist**.*main duties and responsibilities of the job**.investigating the stateoftheart methods in nlp, machine learning and ai.applying nlp methods to extract insights from text such as email messages.applying supervised and semisupervised machine learning approaches in classification of large scale datasets in cybersecurity domain..developing bespoke interactive visualisation tool to enable endusers to interact with the machine learning component.*skills, qualifications and experience needed**.3+ years experience in visual analytics, machine learning, data visualisation, nlp or data science.expertise in natural language processing and visualisationsupported active learning.minimum 3 years of research in machine learning and information visualisation.proven industry experience in machine learning and information visualisation.proficient in python.experience of research and development in large scale projects related to cybersecurity.experience using machine learning libraries for nlp and big data (spacy, gensim, nltk, sparkml).experience in developing bespoke interactive data visualisation tools using d3.js and react.proven track record of publications in top journals and conferences including tvcg and icml.10% performancebased bonus scheme.",AI/ML Data Scientist,Tec Partners,,39596,Glassdoor,United Kingdom
6,"Sep 26, 2019",hd insights.,Azure Big Data Azure Rapid Response Support Engineer,Microsoft,Computer Hardware & Software,84080,Glassdoor,Jordan
7,"Sep 26, 2019","monitor and analyze campaign metrics to ensure proper delivery.optimize campaigns in dfp (gam) while ensuring minimal discrepancies by checking reporting through third party ad servers.oversee inventory management and osi (on-schedule-indicator) reporting to ensure clear and actionable data delivery to all stakeholders.partner with ad operations, product and sales teams on campaign optimization strategies; providing proactive insights and advice for inventory solutions to accelerate campaigns.oversee and inform campaign optimization best practices; training on and offshore trafficking teams for horizontal implementations.perform thorough qa checks on ad creative, and work with the digital sales team to resolve any conflicts or concerns as needed.manage various aspects of technical implementation and testing for ad products and custom builds as needed.provide technical qa support on custom programs and executions as needed.traffic custom ad creative in dfp as needed.complete data entry and setup of campaigns, along with general reporting and analysis functions as needed.2-3 years in an ad operations or analytics role.highly analytical with strong quantitative skills and a strong working knowledge of excel.knowledge of/experience with third party ad servers - dfp preferred.must have sql, html, familiarity with js, css and web coding concepts.ability to independently handle multiple tasks in a fast-paced environment under tight deadlines.strong verbal and written communication skills.strong creative problem-solving skills and an ability to come up with unique solutions to complex problems.high level of attention to detail and excellent organizational skills.bachelor’s degree, preferably in statistics, math, science or computer science.demonstrated proclivity in technology, internet and/or media/advertising.total work: 2 years (preferred).dfp: 2 years (preferred).bachelor's (preferred).pune, maharashtra (preferred).",Ad Operations Data Analyst,YuktaMedia,Internet,41605,Glassdoor,IN
8,"Sep 26, 2019","java 8 (with spring boot), scala, python and r.data storage with aws athena, aws redshift, postgresql, elasticsearch, mongodb, redis, aws s3.data processing with spark, flink, kafka.search engine runs on elasticsearch cluster.internal applications developed in reactjs.being part of the team which is fully responsible for our data platform and data applications.understanding data related technical problems and helping find solutions with your engineering team.effectively translating business requirements into technical solutions, roadmaps and specifications.organizing tasks and managing technical requirements in collaboration with your engineering team.performing data analyses to ensure impact and quality of results.aligning with the data analytics team on the prioritisation of tasks and tickets to enable the team to achieve short and long-term objectives.helping to remove blockers and opticals of team members to enable efficient development.a university degree in informatics, computer science, industrial engineering, physics, mathematics, economics or related stem fields.3+ years work experience in a data intensive work environment and experience with big data technologies like redshift.very good understanding of data processing, databases and big data technologies.strong sql skills and familiar with programming languages like python, java, c++ etc..experience with data visualisation tools like tableau or kibana.you have strong communication skills to manage complex projects with different stakeholders.strong organizational/analytical skills with ability to thrive in a fast-paced environment.have an impact on the millions of people using our product every month..grow with responsibility from day 1 and through regular feedbacks..stay healthy and energized with free fruit, breakfast and coffee in the office..get in shape at the premium gym in our office building for a discounted rate..learn languages with meetings in english and subsidized german classes..connect and have fun with diverse yet like-minded people at work and regular events..go travelling for 28 vacation days + 13 public holidays in bavaria..",Senior Product Manager - Data & Analytics (f/m/d),Holidu GmbH,"Hotels, Motels, & Resorts",62738,Glassdoor,DE
9,"Sep 25, 2019","this role is a hybrid of web analyst, social analyst, data planner, with an underlying marketing and commercial skillset..with their hybrid nature, this person is able to identify and understand how to blend and mine data from all marketing channels to deliver against client and team briefs..working within a small team this person will help to put data at the heart of decision making, across multiple disciplines including e-commerce, user journey mapping, experience planning, content, and design..to deliver best in class data solutions to internal stakeholders using statistical analysis and modelling techniques that deliver true insight.to deliver expert web analytics analysis using google analytics and google tag manager and other tracking platforms.to assist with the development of business cases in support of campaign and wider data initiatives.to report on the success of campaigns using highly visual techniques including dashboard builds, to highlight trends in the data and the rationale for trends.to advise the business on the optimum way to use data and analytical / statistical techniques to drive maximum value from their data.established experience within data analytics / web analytics roles.expert web analytics experience; specifically, google analytics and datastudio.deep understanding of web analytics tagging protocols and naming conventions; specifically, google tag manager.get the content, customer experience and creative teams to embrace and use the data insights you produce..ensuring the team take a test and learn approach to content; real time data and insight driven optimisation to improve performance of digital content.experience of social listening and analysis tools would be beneficial.must have experience and understanding in all types of campaign metrics; including digital content, digital journeys, search, media as well as expected experience in below the line media - online, offline and above the line measurement experience.experience of building interactive, visual dashboards using google datastudio or similar.ability to identify new creative and consumer optimisation opportunities where data planning and analytical tools can be used to enhance the roi of content and campaigns.",Web Data Analyst,Barker and Stonehouse,,66272,Glassdoor,Kingdom
10,"Sep 24, 2019","experience with understanding and creating data flows, data architecture, etl/elt development and with processing structured and unstructured data..proven experience with large and complex data sets, using data stored in rdbmss, writing high performance sql statement as well as experience or good understanding of data lake solutions..experience in specialized analytics tools and technologies including but not limited to :.distributed framework for data storage and computing : hadoop, spark, etc ..object-oriented/object function scripting languages: python, scala, java, c++, etc ..relational sql and nosql databases, including mssql, mysql, postgres and cassandra..data pipeline and workflow management tools : azkaban, luigi, airflow, etc ..data scripting or manipulation tools : pig, hive, hbase and kafka..stream-processing systems: storm, spark-streaming, etc ..experience with cloud services of azur and/or aws..experience with linux and shell scripting..experience in devops, including automated testing, automated schema migration, and continuous deployment..experience in working with conceptual knowledge and maintaining physical and logical data models..experience in working with colleagues to identify and clarify requirements..ability to analyze data, to identify issues like gaps and inconsistencies and to do root cause analysis..ability to design solutions that are fit for purpose whilst keeping options open for future needs..knowledge of or experience in classic and new/emerging business intelligence methodologies..knowledge of statistics, data mining, machine learning and predictive modeling, data visualization and information discovery techniques..strong verbal and written communication skills, good interpersonal relationship skills..ability to work under pressure and collaboratively across multiple sets of stakeholders - business smes, it, data teams, analytics resources - to deliver on project deliverables and tasks..5+ years within a fast-paced and complex business setting..master or phd degree in computer science, applied mathematics, engineering, statistics, informatics, information systems or another quantitative field..good interpersonal communication skills and influencing skills..eagerness to learn and ability to work with limited supervision..a self-starter, able to work on initiative with a strong desire to learn..track record of successfully delivering data warehousing and data lake projects both individually and through teams..track record of successfully supporting data science projects both individually and through teams..track record of managing teams (direct people management)..",Lead Data Engineer,ConSol Partners,Staffing & Outsourcing,15077,Glassdoor,United Kingdom
11,"Sep 23, 2019","*location leeds**.established and establishing teams of innovative and enthusiastic data engineers, testers, data scientists, business analysts, solution architects, product owners and delivery leads.new and existing data pipelines, extracting, loading and transforming billions of records and messages each day.a large hadoop cluster using hdfs, hbase, hive and impala.a mix of scala, spark, python, groovy, ruby, sql, docker, vault and more.orchestration and scheduling using jenkins.platforms that scale and perform, or that at least will with your help.",Lead Big Data Engineer,The Bridge IT,Staffing & Outsourcing,58485,Glassdoor,United Kingdom
12,"Sep 23, 2019","demonstrable handson experience in deploying and maintaining machine learning models in production environments.familiar with offline (batch) and online (live/stream) data pipelines.advanced python (including sklearn, numpy, pandas, matplotlib) and at least intermediate level java (or c#).comfortable running sql queries to fetch data from the internal datastore.prior exposure to the atlassian suite (jira, confluence, stash) or similar.rigorous attention to detail.ability to work in a crossfunctional environment through close cooperation with commercial and devops teams amongst others.",Senior Data Scientist,Wade Macdonald,Staffing & Outsourcing,110208,Glassdoor,United Kingdom
13,"Sep 20, 2019","langages python (inlcuant numpy, scipy et scikit-learn), r, javascript..ia, big data, analytics, datascience.process industriels.",Ingénieur Data Analyst - PAU (H/F),ACTIVUS Group,,59805,Glassdoor,FR
14,"Sep 20, 2019",<strong>elastic search</strong>.,Big Data Engineer,Software Inside,Computer Hardware & Software,35811,Glassdoor,IT
