,posting_date,description,title,country,employer,industry,id,source,lat,lng,location
2,"Sep 5, 2019",interesse an innovativen technologie-themen.,Young Professional Consultant (w/m/d) Analytics / Data Scientist,Germany,Camelot ITLab GmbH,Consulting,4148184020.0,Glassdoor,50.9381,6.9571,Cologne
3,"Sep 5, 2019",interesse an innovativen technologie-themen.,Young Professional Consultant (w/m/d) Analytics / Data Scientist,Germany,Camelot ITLab GmbH,Consulting,4148184018.0,Glassdoor,49.4878,8.4663,Mannheim
6,"Sep 27, 2019","*artificial intelligence/ machine learning data scientist**.*main duties and responsibilities of the job**.investigating the stateoftheart methods in nlp, machine learning and ai.applying nlp methods to extract insights from text such as email messages.applying supervised and semisupervised machine learning approaches in classification of large scale datasets in cybersecurity domain..developing bespoke interactive visualisation tool to enable endusers to interact with the machine learning component.*skills, qualifications and experience needed**.3+ years experience in visual analytics, machine learning, data visualisation, nlp or data science.expertise in natural language processing and visualisationsupported active learning.minimum 3 years of research in machine learning and information visualisation.proven industry experience in machine learning and information visualisation.proficient in python.experience of research and development in large scale projects related to cybersecurity.experience using machine learning libraries for nlp and big data (spacy, gensim, nltk, sparkml).experience in developing bespoke interactive data visualisation tools using d3.js and react.proven track record of publications in top journals and conferences including tvcg and icml.competitive and dependant on experience.10% performancebased bonus scheme.",AI/ML Data Scientist,United Kingdom,Tec Partners,,4203393208.0,Glassdoor,51.4833,-0.1167,"Charing Cross, England"
13,"Sep 23, 2019","demonstrable handson experience in deploying and maintaining machine learning models in production environments.familiar with offline (batch) and online (live/stream) data pipelines.advanced python (including sklearn, numpy, pandas, matplotlib) and at least intermediate level java (or c#).comfortable running sql queries to fetch data from the internal datastore.prior exposure to the atlassian suite (jira, confluence, stash) or similar.rigorous attention to detail.ability to work in a crossfunctional environment through close cooperation with commercial and devops teams amongst others.",Senior Data Scientist,United Kingdom,Wade Macdonald,Staffing & Outsourcing,4202983361.0,Glassdoor,51.4333,-1.0,"Reading, England"
18,"Sep 19, 2019","performing fundamental research work on applying deep learning to different types of data (categorical, temporal, etc.)..constructing data pipelines and applying data processing, cleansing and integrating..developing, testing and evaluating deep learning algorithms to tackle the underlying problem..assisting in model deployment and optimizing for performance..developing documentation for developed models..assisting in development of materials and analysis for project proposals and proof of concepts..proposing solutions and strategies to business challenges through deep learning..bachelor's degree in data science, computer science, math, statistics, engineering or a related program of study..2+ years hands-on experience using python (including numpy, pandas and scipy)..strong grasp of computer science fundamentals, algorithms, data structures, and design patterns..background in statistical modelling, data mining and deep learning..experience with tensorflow and keras or other deep learning frameworks..previous experience with designing, training, debugging and evaluating machine learning algorithms is a strong asset..experience with cloud services, docker or serverless technologies..experience using jupyter notebooks..previous experience in applying cnns and/or rnns (including lstm) to temporal data..previous experience with computer vision and/or unstructured data..previous experience in applying evolutionary/genetic algorithms..previous experience with dimensionality reduction techniques for data visualization..",Junior Data Scientist,Canada,Giatec,Electrical & Electronic Manufacturing,4136717842.0,Glassdoor,45.4167,-75.7,Ottawa
19,"Sep 18, 2019","experience with at least one of the ml related technologies (azure ml, mllib, h20, scikit-learn, various r packages).hands on experience with either r or python for both data prep and modeling.demonstrated leadership in ds overall workflow and methodology supporting the need to move systems into production and support..demonstrated leadership in mentoring and training other data scientists ..demonstrated client facing experience..working knowledge of emerging domains such as deep learning including frameworks such as cntk, tensorflow, keras, gluon, mxnet etc and distributed analytics on edge in iot context..familiarity with aws or the microsoft azure platforms is a plus.familiar with map reduce framework, and parallel/distributed processing such as hadoop/spark/dryad/scope.analytical tools, languages, or libraries: sas, spss, apache mahout.knowledge of other languages like java, f#, c#, c++is a plus.",Delivery Data Scientist,India,Microsoft,Computer Hardware & Software,4133581885.0,Glassdoor,0.0,0.0,India
25,"Sep 10, 2019","you engage with customers and consultants to get a deep understanding of our business needs and opportunities to create value from data and transfer knowhow into systems.you explain, educate, and tell stories about data driven working and thinking in the company. you are an ambassador and role model for this way of working.you pro-actively perform data exploration to come up with new insights and proposals to improve our products.you continuously tweak and adjust our predictive models to provide the best performance possible.you work with a multidisciplinary product team that innovates the predictive capabilities and data driven systems.you will build up & coach a small team of data scientists and analysts..5+ years of experience in data science.master degree or equivalent relevant work experience in a mathematical or analytical field.experience with working in a data driven product environment.excels at explaining complex data concepts to the whole company and taking people on a path of more analytical and data thinking.able to communicate ideas and strategies (including push back) up till the executive level.creative and flexible in coming up with solutions when the data itself is imperfect.excellent communication skills in english..experience in an online marketing environment.experience with our tech and tool stack: python, scala, sagemaker, databricks..flexible working hours.unlimited (paid!) holidays.time and budget for training.relocation support and more!.",Lead Data Scientist,Netherlands,VONQ,Advertising & Marketing,4122335668.0,Glassdoor,51.9167,4.5,Rotterdam
36,"Oct 8, 2019","bachelor's/college degree in mathematics, statistics, economics or equivalent.must have good working experience as statistician /data analyst/ mathematician.knowledgeable in evaluating probabilities and statistics, statistical modeling and graphic analysis, charts and tables.can interpret data, analyze results using statistical techniques, provide ongoing reports and data sets.",Statistician/ Data Scientist,Philippines,Glimex Inc.,,4165170932.0,Glassdoor,13.0008,120.8131,Makati
37,"Oct 7, 2019",preferably master or phd in scientific field;.analytics background;.strong visualization skills - tableau;.excellence in python;.desirable - experience with azure..,Senior Data Scientist,United Kingdom,Stott and May,Staffing & Outsourcing,4164872960.0,Glassdoor,50.85,-0.9833,"Havant, England"
39,"Oct 7, 2019","you will be responsible for making the current algorithm more bulletproof while delivering new algorithms and products to power their analysis platform..you will be working on advanced time series models along with addressing various other challenges within machine learning, modelling and analytics..you will lay the groundwork for the future of their data science practice, designing, implementing and launching your own products, features and frameworks..msc or phd in statistics, applied mathematics, computer science, physics from a top tier university (oxford, cambridge, harvard etc).strong background in statistical modelling and delivering data science projects..experience with the following; supervises and unsupervised ml, time series analysis, outlier detection)..ability to write python (various libraries), and preferably r too..",Senior Data Scientist,United Kingdom,Pivotal London,Staffing & Outsourcing,4164375366.0,Glassdoor,51.5,-0.1167,"London, England"
