posting_date,description,title,employer,industry,id,source,country
2019-09-18," job description:  bank america seeking senior data scientist analytics team digital transformation program within wholesale credit technology.  scope projects include descriptive, predictive prescriptive analytics. cultivate team infrastructure support modeling analyzing loan data wholesale credit business lines. develop value-added analytics solutions support revenue generation, business insight, risk management, operational efficiency, regulatory compliance, loan pricing, pre post-sale loan facility research. solutions must overcome issues complex data (e.g., vldb, multi-structured, ""big data"", etc.) well deployment advanced techniques (e.g., machine learning, text mining, statistical analysis, etc.) deliver insights. determine best practices areas data science machine learning. facilitate use technologies within loan business loan system applications including precision lender wholesale credit business processes. liaise global banking markets enterprise level teams determine best practices firm contribute improving proficiency areas wct, firm generally. work robotics analytics swat team project intake present new technologies relate solutions high roi applications analytics. manage projects project budget.  minimum qualifications  ph.d. degree related field preferred substantial equivalent experience. typically requires minimum 7-10+ years practitioner machine learning financial markets.  shift: 1st shift (united states america) hours per week: 40","Senior Data Scientist, Wholesale Credit Technology",Bank of America,,3705b6bdceec9a65cae63741ecff9989,Indeed,United States
2019-10-23,"  req. id: 144857  micron technology’s vision transform world uses information enrich life commitment people, innovation, tenacity, collaboration, customer focus allows us fulfill mission global leader memory storage solutions. means conducting business integrity, accountability, professionalism supporting global community.  smart manufacturing & ai data scientist micron technology, inc., work world-class team data engineers, business intelligence experts, software engineers discover data insights unobservable traditional business solutions. draw broad background data-mining techniques mathematics, statistics, information technology, machine learning, data engineering, design experiments, visualization, text mining discover insightful patterns data. position, take exciting projects across enterprise business processes bring data science methods opportunities sales, supply chain, finance, corporate strategy, marketing, business areas.  responsibilities include, limited to:  strong understanding business strategy develop clear vision data science collaborate data scientists, data engineers business process experts access existing data data warehouse big data environments ability develop, tune, deploy predictive models explain predict business outcomes prepare deliver presentations data visualizations business conclusions   minimum qualifications:  masters computer science, engineering, economics, mathematics, statistics another research science, bs least two years relevant experience strong knowledge experience r, python statistical software familiarity core techniques statistical machine learning, including regularized regression, time series analysis, decision trees, boosting algorithms, neural networks, frequentist bayesian inference, power calculation experimental design, clustering, collaborative filtering, nlp, cross-validation bootstrapping, data visualization strong interpersonal skills maintain positive relationships colleagues proactive collaborate effectively rapidly changing environment   us leader innovative memory solutions, micron helping world make sense data delivering technology transforming world uses information. global brands — micron, crucial ballistix — offer industry’s broadest portfolio. company manufacturing today’s major memory storage technologies: dram, nand, 3d xpoint™ memory. solutions purpose built leverage value data unlock financial insights, accelerate scientific breakthroughs enhance communication around world.  micron benefits employee rewards program, healthcare, paid time (combined sick vacation time), retirement savings plans, paid maternity/paternity leave, employee assistance program, professional development training, workplace wellness programs, micron health clinic (boise only), fitness center / activity rooms (boise only), tuition reimbursement, micron corporate discounts, casual dress attire.  qualified applicants receive consideration employment without regard race, color, religion, sex, sexual orientation, gender identity, national origin, veteran disability status. us sites only: request assistance application process and/or reasonable accommodations, please contact micron’s human resources department 1-800-336-8918 208-368-4748 and/or completing general contact form keywords: boise || idaho (us-id) || united states (us) || technology development || college || regular || engineering || #li-sc2 || tier 4 || ",Data Scientist,Micron,,f94c6314723a7b5e082fcf5b73724021,Indeed,United States
2019-08-23,"  cargill committed helping world thrive. bringing new purchasing models enrich lives small cocoa farmers applying latest technology data sustainable shrimp farming, employees take enormous responsibility nourishing world. accomplish bold goals, employees empowered tools, encouragement support. join brightest minds cargill something matters!  job purpose impact  sr. demand forecasting data scientist applies strong technical skills building predictive models. position developing projects use standard statistical forecasting machine learning techniques also collect external inputs, develop solutions help deliver significant value cargill’s businesses functions. integral teams developing proof concepts (pocs), minimum viable products (mvps), fully-deployable solutions. position develops high-value solutions across cargill, including food ingredients & bio-industrial, animal nutrition, protein & salt, agricultural supply chain, metals & shipping. key accountabilities  develop code models applying algorithms large data sets, including exploratory techniques, model development, back-testing, accuracy measurements communication.  expect translate complex ambiguous business problems project charters, clearly identifying technical risks project scope. network business partners develop pipeline forecasting data science projects aligned business strategies. ensure strong communication technical solutions non-technical audiences.  design strategies propose algorithms analyze use data variety sources.  multidisciplinary team database specialists, data scientists, business subject-matter guides, focus delivering work on-time budget. like continuously seek best practices develop skills build new capabilities data analytics, role would good fit you.    qualifications  minimum qualifications  bachelor’s degree data science, computer science, math, engineering related field plus 6 years business experience; master’s degree data science, computer science, math, engineering related field plus 5 years work experience; phd data sceince, computer science, math, engineering related field plus 3 years work experience. expertise time series temporal machine learning techniques, including arima, exponential smoothing, arch/garch, testing seasonality, lags, hetero-skedasticity, multicollinearity.  proficiency r (e.g. ggplot2, forecast, tidyverse, caret, tseries, prophet) python (e.g. pandas, scikit-learn, bokeh, nltk).  proven ability present non-technical audiences proven knowledge model tuning, deployment, monitoring.  preferred qualifications  experience agriculture commodity business; weather & geospatial data, consumer & marketing/sales data. experience databases, hadoop, distributed computing frameworks. experience software development environment code skills day life management/versioning (e.g. git). strong sql knowledge feature engineering selection techniques (binning, pca, t-sne, transformations, etc.)   #li-hs1  equal opportunity employer, including disability/vet.  job research development primary location us-mn-wayzata schedule full-time job type standard shift day job ",Sr Demand Forecasting Data Scientist,Cargill,,e873ee91428402a2bfa5631ade4857a2,Indeed,United States
2019-08-24,"  position part global payment fraud team. business team responsible global payment fraud strategy execution starbucks. millions times day customers interact starbucks payment systems across physical digital platforms customers expect securely seamlessly interact starbucks payment systems. role create tools perform analytics provide actionable insights enable ongoing business optimization innovation starbucks fraud payment.   you’ll deeply embedded business output efforts immediately improve starbucks. you’ll help starbucks figure make sure we’re always reliable customers ever complex environment. build powerful new self-service tools make faster easier internal customers act. finally, build tools make possible us find fix problems quickly efficiently.   fast-paced environment, using agile methodology tailoring designs implementation maturity business. currently code oracle pl/sql microsoft bi platforms (sql server/azure) utilize tableau visualization layer. always subject change new technologies emerge. supportive team culture encourages innovation expect developers management alike take high level ownership product vision, technical architecture project delivery.   responsibilities:  develop solid understanding transaction management systems starbucks utilizes manage global business including digital stored value card program, digital payments well physical point sale. role need understand end end financial workflow systems/processes, back-end logging structure impacts on/relationship operational effectiveness efficiency organizations work cross-functional teams product owners, operators, data scientists technical source system teams understand data well business performance drivers architect data visualization tools enable continuous improvement create reporting artifacts tailored varying customers executive operator raise analytics bar acting subject matter expert business technical teammates enable self-service analytics work entire software development life cycle little supervision responsible calibration efforts testing tools insure highest levels accuracy dependability along documentation user training support self-service analytics work teammates evaluate reporting requests, assess feasibility, develop prototypes, implement production/delivery plan conjunction starbucks technology required utilize troubleshooting advanced problem-solving skills provide advanced support systems developed others. utilize variety technologies including sql server, oracle, azure, aws needed facilitate changes production environment appropriate teams via established change management processes participate large-scale starbucks international system implementations requiring fraud payment capabilities integration global data architecture supporting fraud payments develop ad-hoc bi solutions needed solve emerging complex business problems    qualifications   experience education requirements:  bachelor's degree computer engineering, electronics, business administration, communication and/or statistical analysis data mining related field foreign equivalent relevant work experience. master's degree preferred.  functional technical skill requirements:  must comfortable writing sql working knowledge etl processes used streamline automate collection data source systems. experience developing business intelligence solutions using microsoft bi stack - sql server, ssas, ssrs, ssis, azure plus specific focus data visualization tools like tableau experience performing relational dimensional data modeling data warehouse, data mart decision support systems also plus  qualifications:  excellent analytic, troubleshooting problem solving skills, proven ability quickly understand problem, determine significance issue identify solution. experience working payment data specifically supporting payment operations analytics tools significant plus focus delivering results, work ethic based strong desire exceed expectations. demonstrated understanding financial database structure design principles. strong interpersonal skills, including written oral communication skills. ability work within team environment, networking collaborating cross-functionally. ability remain flexible fast paced rapidly changing environment. commitment continued improvement, demonstrated ability innovate  starbucks brands equal opportunity employer qualified individuals.  committed creating diverse welcoming workplace includes partners diverse backgrounds experiences. believe enables us better meet mission values serving customers throughout global communities. people color, women, lgbtqia+, veterans persons disabilities encouraged apply.  qualified applicants criminal histories considered employment manner consistent federal state local ordinances. starbucks corporation committed offering reasonable accommodations job applicants disabilities. need assistance accommodation due disability, please contact us 206-318-0660 via email applicantaccommodation@starbucks.com  ","data scientist - Seattle, WA",Starbucks,,402c05327ee5ec831f2a4b00eee1e815,Indeed,United States
2019-08-24,"headquartered new york, offices boston tokyo, tvision leader tv performance metrics. enable media industry - brands, networks, data partners alike - reduce waste drive greater marketing results. utilizing cutting edge technology, measure unmeasurable - people really watch tv. core technology measures 'eyes screen' attention, single accurate way measure exposure video content. allows us provide critical insight brands agencies targeting audiences. growth innovation recognized new york times, advertising age, adweek, mediapost, forbes. data science core tvision does, projects high visibility directly impacting results business clients. role, responsible helping spearhead development analytics-focused products guide evolution tv measurement industry. efforts impact methodologies, data way delivered ultimately used across industry make tv advertising better brands consumers alike. deep thinker, live create hypotheses, solve problems, create solutions, powerful voice driving company growth. responsibilities  innovation incubation data products (models algorithms) acr computer vision data work closely engineering resources bring proof concept solutions market apply data-driven solutions improve accuracy stability processed data use ai, deep learning machine learning techniques extract insights predict / forecast future performance collaborate business team (sales, marketing, panel operations, engineering) solve high impact problems internal external thought leader everything data (industry standards; tvision data, metrics methodologies) requirements  ms/phd computer science, statistics, engineering, another relevant quantitative field knowledge experience performing advanced statistical analysis fluency sql python/r/scala similar programming language applied statistical modelling / machine learning strong problem-solver analysis skills, team player. must able quickly understand technical business requirements translate technical solutions ability work independently familiarity big data technologies like hadoop, map/reduce, spark, hive etc. plus experience advertising / media industry strongly preferred benefits tvision prides providing great benefits employees, including:  competitive pay stock options choice comprehensive health benefits family (medical, dental, vision) short long-term disability, life ad&d insurance fsa/hsa accounts 401(k) retirement plan options pre-tax commuter benefits monthly phone reimbursement unlimited pto paid holidays gym membership discounts financial support ongoing professional development ",Lead Data Scientist,TVision Insights,,95a369bd6eaa4a65dc22e2e6329157f1,Indeed,United States
2019-08-23," overview  position summary: data scientist  affordable care, llc (“aci”) founded 1975 today america’s largest dental support organization focused tooth replacement services, 320 affiliated practices 40 states. headquartered morrisville, north carolina business retail names affordable dentures affordable dentures & implants, company’s affiliated practices offer range tooth replacement services including dentures, dental implants tooth extractions. company’s unique, highly-focused business model enables dentists provide high-quality, low-price dental prostheses 400,000 patients annually.  practice individually owned operated licensed dentist provide dentures dental implants delivered highest levels professionalism care. affordable care differentiated marketplace offering same-day service dentures tooth replacement. every practice on-site dental lab, adds convenience value patients. six million patients received services affordable care-affiliated practice.  affordable care acquired berkshire partners (“berkshire”) october 2015   key responsibilities: research develop methods measuring analyzing marketing spend effectiveness research new ways modeling customer behavior work senior director enterprise analytics design experiments answer targeted questions formulate roadmap project activity leads measurable improvement business performance metrics/key performance indicators time. conduct end-to-end analysis includes data gathering requirements specification, analysis, ongoing scaled deliverables presentations. work senior director enterprise analytics architect, develop automate analytics solutions help formulate business recommendations (cost-benefit, invest-divest, forecasting, impact analysis) effective presentations findings multiple levels stakeholders displays quantitative information develop comprehensive understanding affordable care data structures metrics, advocating changes needed products sales activity creatively explore use data continually add value translate ad hoc questions flexible methodologies scale answer broad problems across organization    skills/abilities/experience & qualifications:  ms phd statistics related (e.g., mathematics, physics, ops research). relevant work experience including statistical software (r, s-plus, sas, similar), databases (terradata similar) scripting languages (such python). demonstrated willingness teach others learn new techniques experience articulating business questions, pulling datasets using statistics arrive answer. experience translating analysis results business recommendations. deep interest aptitude data, metrics, analysis trends, applied knowledge measurement, statistics program evaluation. demonstrated problem solving skills impeccable business judgment. effective written verbal communication skills.   work environment, physical & mental demands  ability work least 40 hours per week company’s morrisville, nc corporate office flexibility based project needs exerts 10 pounds force occasionally and/or negligible amount frequently move objects.   ",Data Scientist,Affordable Dentures & Implants,,5fcca90a32176d42d53f3e6424295973,Indeed,United States
2019-08-24,"our world needs ideas! one world’s research-intensive chemical companies, developing leading solutions numerous sectors – construction photovoltaics cosmetics rubber – 100 years. global presence production sites three continents 14,600 employees 70 nations. north america headquarters adrian/ann arbor, mi, currently looking lead data scientist/data scientist iii. data scientist take active part digital transformation journey support sales, marketing, production, logistics supply chain business teams insights gained analyzing company data. drive advanced analytics initiatives solve interesting business problems across enterprise. individual expected adept using large data sets find opportunities operational excellence, cost reduction, revenue generation process optimization using artificial intelligence machine learning technologies data scientist support product, sales, marketing, supply chain leadership teams insights gained analyzing company data. also adept using large data sets find opportunities products process optimization using machine learning models test effectiveness different courses action. tasks mine analyze data company databases drive optimization improvement product development, marketing techniques business processess. lead project groups data scientists provide mentorship inspire innovative thinking advanced analytics space. design statistical machine learning models getting desired insights data collected. explore opportunities using advanced tools technologies robotic process automation (rpa), deep learning, nlp, iot automation use predictive modeling increase optimize customer experiences, revenue generation, supply chain management business outcomes. assess improve effectiveness accuracy new data sources data gathering techniques. develop custom data models algorithms apply data sets. develop processes tools monitor analyze model performance data accuracy. democratize data insights deliver self-service tools business teams enable make better decisions quicker profile bachelor's degree computer science related field; master's degree computer science related field preferred minimum 5 years industry experience applying machine learning, statistical modeling, optimization algorithms large data sets required.. experience advanced statistical methods, text mining, predictive analytics, prescriptive analytics, deep learning data visualization.required. experience data mining insights business processes order cash, purchase pay, logistics supply chain management. experience python scripting language analyzing structured unstructured data experience working erp, data architecture, enterprise applications global data landscape experience big data landscape (hadoop, spark), manufacturing industry new technology trends preferred must excellent communication, collaboration teamwork skills. high level presentations skills executive management li-lg1 sustainability one wacker’s corporate goals – also employer.we want remain productive, healthy successful long term. thatis offer, example, comprehensive health management variety advanced training programs courses individual development opportunities, alongside good work-life balance. naturally, also fair compensation system above-average social benefits. all, social responsibility long tradition wacker.be part family. across nations.",Data Scientist - (2 Positions),Wacker,,0b002e43f8899ed10b9e67d5f63506a7,Indeed,United States
2019-08-25," position summary data scientist quotient technology, responsible quantifying deep understanding consumer behavior patterns motivations analysis consumer response product marketing strategies tactics. right candidate utilize advanced data mining statistical techniques drive empirical understanding surface optimization product enhancement insights opportunities. key member analytics & research team, delivering critical data-driven insights across organization well clients partners. utilize quotient’s extensive first, second, third party data evaluate performance media, promotions advertising attributed impact consumer behavior sales. collaborating members product, engineering, sales operations contribute analytics product lifecycle strategy, design, development, test delivery data-driven products techniques optimize analytic offerings. part team, collaborate portfolio solutions focused enhancing consumer experience generating revenue across personalized promotion, media advertisement recommendations, targeting, measurement insights. position responsibilities: identify assess key opportunity areas data science enhance improve existing products, increasing efficiency processes accuracy model/analytical results develop detailed plans achieving desired analytics deliverables product goals, including impact assessment revenue labor costs devise, develop, test deploy new data models expand current solution packages effectively engage partner analytic team members, engineering, product management sales drive implementation models efficient scaled manner drive production analytic capabilities data management, modeling algorithms innovator demonstrated ability craft data science vision, get people excited ideas get quickly market via existing new products  position qualifications: · ms (or bs equivalent experience) computer science, statistics, applied mathematics, ai, related areas · experience applying data science improve products services experience consumer web, consumer goods retail functional areas preferred solid proven background data mining, statistical analysis, segmentation modeling ability grasp complex concepts develop clear, concise, synthesized recommendations backed data analyses experience manipulating large data sets analyzing identify actionable insights fluency analytical tools r, programming languages like sql python understanding linux environment, skilled bash scripting exceptional collaborative, communication presentation skills ability work well across organization driving overall shareholder value strong initiative, high energy, hands-on impeccable integrity  quotient technology: quotient technology inc (nyse: quot) leading digital marketing platform provides technology services consumer packaged goods (cpgs) brands retailers seamlessly target audiences, optimize marketing performance drive sales. proprietary cloud platforms: promotions, media, audience, analytics, quotient offers powerful suite solutions, including personalized digital coupons advertising. quotient’s shopper data network unparalleled, retail partners representing almost $400 billion sales 20 million monthly unique mobile visitors coupons.com properties. combining technology, data distribution, quotient serves hundreds cpgs, clorox, procter & gamble, general mills kellogg’s, retailers like albertsons companies, cvs, dollar general, kroger walgreens. founded 1998, quotient based mountain view, california offices across us, well internationally bangalore, paris, london. learn quotient.com, follow us twitter @quotient.",Data Scientist,Quotient Technology Inc.,,02754e032854903fd7f958137096e749,Indeed,United States
2019-09-21," domino’s pizza, began 1960 single store location ypsilanti, mi, lot celebrate lately: we’re reshaped, reenergized brand honesty, transparency accountability – mention, great food! rise becoming true technology leader, brand consistently one top five companies online transactions 50% sales u.s. taken digital channels. brand continues ‘deliver dream’ local business owners, 90% started delivery drivers pizza makers stores. that’s tip iceberg…or might say, one “slice” pie! sounds like brand you’d like part of, consider joining team!  leader innovation food digital commerce space, domino’s constantly testing new concepts, platforms, technologies drive outstanding consumer employee experiences, requires disciplined data approach. primary responsibility role develop machine learning ai components domino’s next-generation smart applications. role required architect solutions manageable supportable high-volume, low-latency production environments support team responsible building, deploying, maintaining predictive models different areas business. secondary responsibility perform analytics (data extraction, preparation, reporting, dashboard development) statistical analysis support development domino’s smart applications. addition, role provides advanced analytics machine learning support broader strategy insights group.  responsibilities duties (50%) hands-on prototyping development  leverage data requirements gathered business partners build machine learning applications improve augment employee consumer experience, store operations, process optimization ml/ai solutions quickly prototype new algorithms demonstrate value  (25%) analytics  create execute test plans help address questions non-technical business partners; translate results business recommendations interpretations consult inter-departmentally new product deployments incremental improvements consult data collection new products specify requirements ensure tracking place future analysis conduct analysis mining internal external data sources  (20%) architect solutions solve problems using machine learning ai  work internal clients data science team solve problems construct meaningful data sets answer relevant questions enrich internal resources learn aspects supply chain, delivery, e-commerce quick-service restaurant industry productive consulting  (5%) provide guidance support / expand use ml coach team members less experienced machine learning methodology  master’s degree (or bachelor’s degree equivalent experience) quantitative science statistics, mathematics, computer science, engineering, etc. ability rapidly learn different areas business operate proficient least one scripting and/or programming language, e.g. r, python experience training models least one deep learning framework (tensorflow, cntk, torch, caffe, etc.) advanced knowledge sql experience working big data technologies hdfs, hive, spark, etc. comfortable working apis streaming data experience data integration etl ability self-start self-direct work fast-paced environment experience rapidminer plus required experience geospatial data and/or gis application arcgis plus required preferable two years experience enterprise database environments ",Data Scientist,Domino's,,cd91624f1b3432470affe062fcc83f3a,Indeed,United States
2019-10-25,"product & program management | san francisco agreement employees docusign committed building trust making world agree-able employees, customers communities live work. count us listen, honest, try best what's right, every day. docusign, everything equal. responsibility ensure every team member equal opportunity succeed, heard, exchange ideas openly, build lasting relationships, work life. best all, able feel deep pride work do, contribution helps us make world better found it. that, loved us, customers, world live. team product & program management teams work impactful challenging problems software industry. highly collaborative cross-border group operates edge engineering business helps design solutions concept launch – focusing advocating what's best customers. work closely engineering design create innovative never-been-done-before products. partner sales, customer success, marketing, finance, legal, security teams bring product market. position join high-performing team transforming way millions businesses individual professionals get business done. docusign we're passionate delighting customers growing business, we're passionate using data – quantitative qualitative – make good business decisions rapidly changing environment. seek senior-level product data scientist professional experience leading reporting analytics product teams. part docusign's product insights team expert product data scientists researchers, partner broader product development organization understand support product initiatives, ensure we're delivering kpis, dive data providing deep analytics derive impactful insights. position individual contributor reporting director, product data science. responsibilities  subject matter expert driving product data strategy collaborate internal teams data capture strategy support advanced analysis insights define kpis, manage regular reports around product use design build automated dashboards connect data internal external data sources, visualizations tools allow business users self-serve website data needs partner product teams design, administer, analyze results a/b multivariate tests deliver quick insights ad hoc projects analyses necessary act sense urgency purpose, identify resolve roadblocks, reach cross functional team members solicit input and/or assist appropriate basic qualifications  bs degree quantitative fields (statistics, math, cs, economics finance preferred) 8+ years professional experience data science/analytics role 4+ years experience web analytics role saas/cloud industry experienced data analytics statistical relevancy best practices strong sql skills hands-on experience following: pulling data external sources using apis join data disparate data systems distilling large data sets actionable insights drive business value preferred qualifications  ability present data visual format explain insights clearly concisely highly motivated, organized, self-starter thrives fast-paced environment productive individual contributor partners well internal teams strong communicator us docusign® helps organizations connect automate prepare, sign, act on, manage agreements. part docusign agreement cloud, docusign offers esignature: world's #1 way sign electronically practically device, almost anywhere, time. today, hundreds thousands customers hundreds millions users 180 countries use docusign accelerate process business simplify people's lives. plus, save trees together! that's good thing. docusign equal opportunity employer. docusign committed building diverse team talented individuals bring different perspectives business feel sense inclusion belonging join team. individuals seeking employment docusign considered without regards race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender identity, gender expression, genetic information, physical mental disability, registered domestic partner status, caregiver status, marital status, veteran military status, citizenship status, legally protected category. #li-ds1",Senior Product Data Scientist,DocuSign,,3500000916dbad9fd40d7a478c08933a,Indeed,United States
