id,skill,category,confidence score
3705b6bdceec9a65cae63741ecff9989,america,Location,0.62
3705b6bdceec9a65cae63741ecff9989,senior data scientist,PersonType,0.78
3705b6bdceec9a65cae63741ecff9989,analytics,Skill,0.81
3705b6bdceec9a65cae63741ecff9989,digital transformation,Skill,0.96
3705b6bdceec9a65cae63741ecff9989,technology,Skill,0.64
3705b6bdceec9a65cae63741ecff9989,predictive,Skill,0.7
3705b6bdceec9a65cae63741ecff9989,analytics,Skill,0.91
3705b6bdceec9a65cae63741ecff9989,modeling,Skill,0.98
3705b6bdceec9a65cae63741ecff9989,analyzing,Skill,0.98
3705b6bdceec9a65cae63741ecff9989,analytics,Skill,0.48
3705b6bdceec9a65cae63741ecff9989,revenue,Skill,0.54
3705b6bdceec9a65cae63741ecff9989,business insight,Skill,0.92
3705b6bdceec9a65cae63741ecff9989,risk management,Skill,0.95
3705b6bdceec9a65cae63741ecff9989,operational efficiency,Skill,0.92
3705b6bdceec9a65cae63741ecff9989,compliance,Skill,0.38
3705b6bdceec9a65cae63741ecff9989,pricing,Skill,0.47
3705b6bdceec9a65cae63741ecff9989,research,Skill,0.8
3705b6bdceec9a65cae63741ecff9989,data,Skill,0.52
3705b6bdceec9a65cae63741ecff9989,vldb,Skill,0.89
3705b6bdceec9a65cae63741ecff9989,structured,Skill,0.53
3705b6bdceec9a65cae63741ecff9989,machine learning,Skill,0.99
3705b6bdceec9a65cae63741ecff9989,text mining,Skill,1.0
3705b6bdceec9a65cae63741ecff9989,statistical analysis,Skill,1.0
3705b6bdceec9a65cae63741ecff9989,insights,Skill,0.38
3705b6bdceec9a65cae63741ecff9989,data science,Skill,0.95
3705b6bdceec9a65cae63741ecff9989,machine learning,Skill,0.99
3705b6bdceec9a65cae63741ecff9989,technologies,Skill,0.5
3705b6bdceec9a65cae63741ecff9989,robotics,Skill,0.94
3705b6bdceec9a65cae63741ecff9989,technologies,Skill,0.68
3705b6bdceec9a65cae63741ecff9989,applications analytics,Skill,0.94
3705b6bdceec9a65cae63741ecff9989,manage,Skill,0.8
3705b6bdceec9a65cae63741ecff9989,project,Skill,0.61
3705b6bdceec9a65cae63741ecff9989,.d,Skill,0.47
3705b6bdceec9a65cae63741ecff9989,degree,Quantity,0.8
3705b6bdceec9a65cae63741ecff9989,7,Quantity,0.8
3705b6bdceec9a65cae63741ecff9989,10,Quantity,0.8
3705b6bdceec9a65cae63741ecff9989,practitioner,PersonType,0.77
3705b6bdceec9a65cae63741ecff9989,machine learning,Skill,1.0
3705b6bdceec9a65cae63741ecff9989,financial markets,Skill,0.85
3705b6bdceec9a65cae63741ecff9989,1st,Quantity,0.8
3705b6bdceec9a65cae63741ecff9989,united states america,Location,0.91
3705b6bdceec9a65cae63741ecff9989,40,Quantity,0.8
f94c6314723a7b5e082fcf5b73724021,144857,DateTime,0.8
f94c6314723a7b5e082fcf5b73724021,micron,Organization,0.55
f94c6314723a7b5e082fcf5b73724021,innovation,Skill,0.79
f94c6314723a7b5e082fcf5b73724021,collaboration,Skill,0.99
f94c6314723a7b5e082fcf5b73724021,customer focus,Skill,0.75
f94c6314723a7b5e082fcf5b73724021,memory storage,Skill,0.62
f94c6314723a7b5e082fcf5b73724021,business integrity,Skill,0.64
f94c6314723a7b5e082fcf5b73724021,accountability,Skill,0.88
f94c6314723a7b5e082fcf5b73724021,professionalism,Skill,0.99
f94c6314723a7b5e082fcf5b73724021,manufacturing,Skill,0.54
f94c6314723a7b5e082fcf5b73724021,data scientist,PersonType,0.51
f94c6314723a7b5e082fcf5b73724021,data engineers,PersonType,0.78
f94c6314723a7b5e082fcf5b73724021,business intelligence,PersonType,0.66
f94c6314723a7b5e082fcf5b73724021,experts,PersonType,0.6
f94c6314723a7b5e082fcf5b73724021,software engineers,PersonType,0.87
f94c6314723a7b5e082fcf5b73724021,data-mining,Skill,0.97
f94c6314723a7b5e082fcf5b73724021,mathematics,Skill,0.99
f94c6314723a7b5e082fcf5b73724021,statistics,Skill,0.95
f94c6314723a7b5e082fcf5b73724021,information technology,Skill,0.98
f94c6314723a7b5e082fcf5b73724021,machine learning,Skill,0.98
f94c6314723a7b5e082fcf5b73724021,data engineering,Skill,0.97
f94c6314723a7b5e082fcf5b73724021,design experiments,Skill,0.91
f94c6314723a7b5e082fcf5b73724021,visualization,Skill,0.98
f94c6314723a7b5e082fcf5b73724021,text mining,Skill,0.95
f94c6314723a7b5e082fcf5b73724021,business processes,Skill,0.57
f94c6314723a7b5e082fcf5b73724021,data science,Skill,0.77
f94c6314723a7b5e082fcf5b73724021,sales,Skill,0.78
f94c6314723a7b5e082fcf5b73724021,supply chain,Skill,0.72
f94c6314723a7b5e082fcf5b73724021,finance,Skill,0.84
f94c6314723a7b5e082fcf5b73724021,marketing,Skill,0.78
f94c6314723a7b5e082fcf5b73724021,business strategy,Skill,0.85
f94c6314723a7b5e082fcf5b73724021,data science,Skill,0.71
f94c6314723a7b5e082fcf5b73724021,collaborate,Skill,0.66
f94c6314723a7b5e082fcf5b73724021,data scientists,PersonType,0.81
f94c6314723a7b5e082fcf5b73724021,data engineers,PersonType,0.84
f94c6314723a7b5e082fcf5b73724021,business process,Skill,0.7
f94c6314723a7b5e082fcf5b73724021,business process,PersonType,0.48
f94c6314723a7b5e082fcf5b73724021,experts,PersonType,0.76
f94c6314723a7b5e082fcf5b73724021,models,Skill,0.49
f94c6314723a7b5e082fcf5b73724021,presentations,Skill,0.5
f94c6314723a7b5e082fcf5b73724021,data visualizations,Skill,0.75
f94c6314723a7b5e082fcf5b73724021,computer science,Skill,0.94
f94c6314723a7b5e082fcf5b73724021,engineering,Skill,0.98
f94c6314723a7b5e082fcf5b73724021,economics,Skill,1.0
f94c6314723a7b5e082fcf5b73724021,mathematics,Skill,0.99
f94c6314723a7b5e082fcf5b73724021,statistics,Skill,0.94
f94c6314723a7b5e082fcf5b73724021,research science,Skill,0.94
f94c6314723a7b5e082fcf5b73724021,two years,DateTime,0.8
f94c6314723a7b5e082fcf5b73724021,statistical software,Skill,0.6
f94c6314723a7b5e082fcf5b73724021,statistical machine learning,Skill,0.86
f94c6314723a7b5e082fcf5b73724021,regularized regression,Skill,0.98
f94c6314723a7b5e082fcf5b73724021,time series analysis,Skill,0.98
f94c6314723a7b5e082fcf5b73724021,decision trees,Skill,0.88
f94c6314723a7b5e082fcf5b73724021,neural networks,Skill,0.96
f94c6314723a7b5e082fcf5b73724021,frequentist,Skill,0.52
f94c6314723a7b5e082fcf5b73724021,bayesian inference,Skill,0.76
f94c6314723a7b5e082fcf5b73724021,power calculation,Skill,0.86
f94c6314723a7b5e082fcf5b73724021,experimental design,Skill,0.94
f94c6314723a7b5e082fcf5b73724021,clustering,Skill,0.6
f94c6314723a7b5e082fcf5b73724021,collaborative filtering,Skill,0.85
f94c6314723a7b5e082fcf5b73724021,cross-validation bootstrapping,Skill,0.92
f94c6314723a7b5e082fcf5b73724021,data visualization,Skill,0.88
f94c6314723a7b5e082fcf5b73724021,interpersonal,Skill,0.92
f94c6314723a7b5e082fcf5b73724021,colleagues,PersonType,0.81
f94c6314723a7b5e082fcf5b73724021,collaborate,Skill,0.66
