,id,skill,type
0,4197200540.0,numpy scipy pandas scikit,
1,4197200540.0,xgboost libsvm dask bokeh graphviz etc tensorflows,
2,4197200540.0,pytorch keras etc,
0,4035778057.0,research new adapt,
1,4035778057.0,existing machine,
2,4035778057.0,approaches,
3,4035778057.0,decision supportbe,
4,4035778057.0,different stages,
5,4035778057.0,data discoverygeneration featureempower growing aq community,
6,4035778057.0,value existing dataframe,
7,4035778057.0,analytical,
0,4163505477.0,mthodes et modlisation machine,
1,4163505477.0,deep learning,
2,4163505477.0,text mining programmation python sql perl java,
0,4170026582.0,machine,
1,4170026582.0,deep learning classification regression clustering,
2,4170026582.0,text mining,
3,4170026582.0,excellent understanding,
4,4170026582.0,neural networks,
5,4170026582.0,random forests logistic regression svm knn k-means lda etcprogramming languages,
6,4170026582.0,python scala nice haveanalytics tooling sql hive netezza cassandra cognos matplotlib similaryou,
7,4170026582.0,3 years,
8,4170026582.0,relevant applied experiencemsc phd,
9,4170026582.0,excellent academic results field computer science machine,
10,4170026582.0,mathematics statistics,
11,4170026582.0,quantitative fieldsexperience,
12,4170026582.0,agilescrum way,
13,4170026582.0,content strength ds work field,
14,4170026582.0,ds techniques,
15,4170026582.0,business problem hand able structure approach,
16,4170026582.0,good programmerwillingness,
17,4170026582.0,open feedback development technical interpersonal levelsperseverance,
18,4170026582.0,problem demanding,
19,4170026582.0,deal setbacksstrong communication skills,
20,4170026582.0,written,
21,4170026582.0,spoken english needs,
22,4170026582.0,convincingentrepreneurial skills,
23,4170026582.0,responsibility,
24,4170026582.0,happenenthusiasm,
25,4170026582.0,great level enthusiasm inspire othersambition,
26,4170026582.0,best data scientist team banking,
27,4170026582.0,great salary terms,
28,4170026582.0,national global career possibilities,
29,4170026582.0,mix,
0,4101129848.0,business requirements data science problems,
1,4101129848.0,complex actionable quantitative models,
2,4101129848.0,predictiveprescriptive analyses,
3,4101129848.0,challenges,
4,4101129848.0,consumer choice engagement overall marketing effectivenessdefine,
5,4101129848.0,performance metrics,
6,4101129848.0,experiments,
7,4101129848.0,set algorithms,
8,4101129848.0,platform,
9,4101129848.0,high-level performance leading enterprisesact mentor junior data scientists,
10,4101129848.0,hands-on technical guidance,
11,4101129848.0,data science problemswork,
12,4101129848.0,engineers,
13,4101129848.0,product managers,
14,4101129848.0,measurable business outcomessome data scientists,
15,4101129848.0,work,
16,4101129848.0,hand-in-hand business leadersvisionary ceos client-base travel,
17,4101129848.0,minimum 8 years,
18,4101129848.0,experience,
19,4101129848.0,4 years,
20,4101129848.0,advanced data science work,
21,4101129848.0,machine,
22,4101129848.0,statistical modeling masterphd math statistics,
23,4101129848.0,computer science operations research,
24,4101129848.0,computational social science technical field ability approach data science problems,
25,4101129848.0,methodical structured manner prototype algorithms,
26,4101129848.0,gains,
27,4101129848.0,real data,
28,4101129848.0,excellent communication skills,
29,4101129848.0,articulate experiment goals methodologies,
30,4101129848.0,insights,
31,4101129848.0,way team,
32,4101129848.0,senior management strong team player collaborator excellent project management skills,
33,4101129848.0,ability,
34,4101129848.0,rapid execution,
35,4101129848.0,quality ability,
36,4101129848.0,fast-paced startup environment,
37,4101129848.0,significant programming experience data science friendly languages,
38,4101129848.0,python r scalaproficiency recommendation systems,
39,4101129848.0,requiredgood working,
40,4101129848.0,knowledge packages,
41,4101129848.0,numpy pandas etc exposure ml deep learning library cntk tensor flow mxnet caffe opencvexperience,
42,4101129848.0,massive data,
43,4101129848.0,expertise,
44,4101129848.0,big data technologies,
45,4101129848.0,hadoop,
46,4101129848.0,nosql experience,
47,4101129848.0,gismaps data plusexperience,
0,4147274432.0,lead data sciences analytics team,
1,4147274432.0,full-time contract technical professionals,
2,4147274432.0,pharmaceutical development manufacturing pdm science operationswork senior management,
3,4147274432.0,data model,
4,4147274432.0,chemistry manufacturing control information,
5,4147274432.0,pharmaceutical process formulation,
6,4147274432.0,analytical development quality control,
7,4147274432.0,commercial manufacturing operations,
8,4147274432.0,closely,
9,4147274432.0,business process owners data stewards,
10,4147274432.0,data management process,
11,4147274432.0,appropriate governance,
12,4147274432.0,accuracy completeness data,
13,4147274432.0,data sciences techniques,
14,4147274432.0,knowledge management predictive analytics,
15,4147274432.0,trends,
16,4147274432.0,scientific operational datasets,
17,4147274432.0,senior management,
18,4147274432.0,comprehensive data sciences strategy framework,
19,4147274432.0,core pdm data sciences,
20,4147274432.0,capability knowledge management platform partner enterprise,
21,4147274432.0,sustainable data governance process,
22,4147274432.0,roles responsibilities examples,
23,4147274432.0,data sets,
24,4147274432.0,complex issues questions data,
25,4147274432.0,storage compute processing analysis search use business intelligence tools visualizations,
26,4147274432.0,dashboards,
27,4147274432.0,execute approach,
28,4147274432.0,data sciences capability,
29,4147274432.0,assessments process value,
30,4147274432.0,proposition business case technology solutions proof value use,
31,4147274432.0,oral written communication skills,
32,4147274432.0,present results,
33,4147274432.0,directionmanage,
34,4147274432.0,existing analytics reporting,
35,4147274432.0,platforms,
36,4147274432.0,web oracle business intelligence enterprise edition obiee,
37,4147274432.0,data visualization tools,
38,4147274432.0,tableau spotfire operations,
39,4147274432.0,targeted value-added reports dashboards metrics,
40,4147274432.0,tools,
41,4147274432.0,pdm community analytical operations,
42,4147274432.0,clinical supply chain management chemical development pharmaceutical quality assuranceanticipate data,
43,4147274432.0,sources,
44,4147274432.0,gaps collaboration data providers data,
45,4147274432.0,key performance indicators metrics,
46,4147274432.0,effectiveness value success,
47,4147274432.0,solutions,
48,4147274432.0,quality deliverables quality service,
49,4147274432.0,effective change management measure adoption,
50,4147274432.0,partner form,
51,4147274432.0,alliances,
52,4147274432.0,internal external business vendor stakeholders,
53,4147274432.0,network data partners,
54,4147274432.0,data analysis questions,
55,4147274432.0,data structures,
56,4147274432.0,tailored pdm interests,
57,4147274432.0,business processes,
58,4147274432.0,data sciences,
59,4147274432.0,methodology technologies,
60,4147274432.0,frequent communications change managementbe,
61,4147274432.0,analytical methods,
62,4147274432.0,business problems,
63,4147274432.0,large quantities data,
64,4147274432.0,right algorithms,
65,4147274432.0,appropriate optimization techniques modelsdevelop security access models data,
66,4147274432.0,broad range needs,
67,4147274432.0,agility velocity,
68,4147274432.0,autonomy access controls segregation environmentsstay,
69,4147274432.0,current modern emerging big data cloud analytics visualization technologies,
70,4147274432.0,practical approaches,
71,4147274432.0,tools examples,
72,4147274432.0,big data cloud data,
73,4147274432.0,real-time analytics automation artificial intelligence machine,
74,4147274432.0,interactive visualization batch processing techniquesresponsible implementation development management business information systems strategy,
75,4147274432.0,business objectives,
76,4147274432.0,consultant business hisher area liaises,
77,4147274432.0,global assigns objectives team,
78,4147274432.0,schedule changes updates business systems,
79,4147274432.0,specific projects direction senior management works project lead,
80,4147274432.0,development systems strategy acts,
81,4147274432.0,technical spokesperson business area expertise,
82,4147274432.0,budget,
83,4147274432.0,team,
84,4147274432.0,full requirements role,
85,4147274432.0,professional appraisals team members,
86,4147274432.0,performance,
87,4147274432.0,guidance subordinates,
88,4147274432.0,organizational goals company policy work,
89,4147274432.0,terms,
90,4147274432.0,organizations objectives,
91,4147274432.0,operating policies procedures,
92,4147274432.0,subordinate organizational units,
93,4147274432.0,modifications,
94,4147274432.0,organizational policies bachelors degree minimum,
95,4147274432.0,8 years,
96,4147274432.0,relevant experience masters degree minimum,
97,4147274432.0,six 6 years,
98,4147274432.0,relevant experience phd minimum two 2 years,
99,4147274432.0,relevant experience degree,
100,4147274432.0,science computer science equivalent experience,
101,4147274432.0,strong abilities,
102,4147274432.0,people processes operations technology drive excellence,
103,4147274432.0,team,
104,4147274432.0,success,
105,4147274432.0,solutions,
