,skill,id
2414,machine learning,479
1086,data,404
3982,statistics,364
515,business,359
3347,python,352
860,computer science,350
1224,data science,313
138,algorithms,228
2528,mathematics,224
1663,engineering,221
811,communication,204
221,analytics,192
3414,r,180
3534,research,167
1431,design,140
156,analysis,129
1468,development,128
3275,programming,128
1173,data mining,128
2260,java,127
1380,deep learning,121
169,analytical,120
806,communicate,115
1666,english,114
3931,statistical,104
3023,physics,102
4221,technology,97
1459,developing,96
1239,data sets,96
4141,technical,95
778,collaborate,94
1455,develop,91
4071,support,90
424,big data,86
1093,data analysis,81
4220,technologies,80
1612,economics,78
1270,data visualization,75
2165,insights,75
3632,scala,73
1346,datasets,73
3226,production,70
2487,marketing,69
2750,natural language processing,68
235,analyze,67
2334,leadership,66
4322,training,64
2342,learning,63
592,c++,61
3841,software development,60
2899,optimization,60
3278,programming languages,60
2890,operations research,59
745,clustering,59
2076,implement,59
3165,problem solving,57
2455,management,56
2674,modeling,55
3484,regression,54
781,collaboration,53
270,applied mathematics,53
2079,implementation,52
2512,mathematical,51
2510,math,51
4530,writing,51
4258,testing,50
3113,presentation,49
3934,statistical analysis,48
1099,data analytics,48
2322,languages,47
3101,predictive modeling,47
4469,visualization,46
2690,models,46
3842,software engineering,46
298,artificial intelligence,46
4532,written,45
2219,interpersonal,45
3169,problem-solving,45
108,ai,44
1446,designing,44
2083,implementing,44
3522,reporting,44
3836,software,43
1198,data processing,43
1243,data sources,43
2592,methodologies,43
3192,product,43
2285,keras,42
1783,finance,42
2613,ml,42
2333,lead,42
3665,science,42
1336,databases,41
3700,scripting,40
783,collaborative,40
2780,neural networks,39
2582,mentor,39
751,code,39
1287,data-driven,38
4237,tensorflow,38
1421,deploying,38
1085,dashboards,38
2448,manage,38
3529,reports,37
3631,sas,37
763,coding,37
979,creative,36
3104,predictive models,36
2583,mentoring,35
810,communicating,35
2683,modelling,34
2978,performance,34
261,applications,33
4006,strategic,33
1132,data engineering,33
2788,nlp,33
2152,innovation,33
3359,pytorch,32
153,analyses,32
3965,statistical models,31
1826,forecasting,31
2156,innovative,31
322,attention to detail,31
1419,deploy,30
3116,presentations,30
4519,work independently,30
3202,product development,29
3723,segmentation,29
3506,relational databases,29
4102,systems,29
209,analytical skills,28
1114,data collection,28
2070,impact,28
4268,text mining,28
240,analyzing,28
2810,numpy,28
912,consulting,27
3186,processing,27
2350,libraries,27
1840,frameworks,27
1178,data modeling,27
3962,statistical modeling,27
721,cloud,26
4241,test,26
545,business intelligence,26
511,building,26
356,automation,26
4025,strategy,26
1166,data management,25
1254,data structures,25
2910,optimize,25
2636,model,25
3277,programming language,25
2461,managing,25
1608,econometrics,24
867,computer vision,24
1561,documentation,24
3090,predictive analytics,24
3742,self-motivated,24
275,applied statistics,24
3668,scientific,24
2704,monitoring,23
587,c,23
2700,monitor,23
3117,presenting,23
3252,professional,23
4414,validation,23
3374,quantitative,23
2531,matlab,23
1615,education,23
1182,data models,22
1214,data quality,22
1396,deliver,22
148,analyse,22
1186,data pipelines,22
3289,project management,22
3621,sales,22
1400,delivery,22
3153,probability,22
3805,simulation,22
1424,deployment,21
728,cloud computing,21
1362,decision making,21
1372,decision trees,21
3327,prototyping,21
2882,operational research,21
2339,learn,21
3036,planning,21
1745,experiments,20
2398,logistic regression,20
1004,critical thinking,20
1316,database,20
1545,distributions,20
589,c#,20
1806,financial services,20
3784,services,19
788,collaboratively,19
4023,strategies,19
988,creativity,19
125,algorithm,19
4088,svm,19
1268,data visualisation,19
567,business processes,19
443,big data technologies,19
1277,data warehousing,19
335,automate,18
3885,spark,18
2886,operations,18
2336,leading,18
3720,security,18
3960,statistical methods,18
3964,statistical modelling,18
2857,open source,17
293,articulate,17
2593,methodology,17
4114,tableau,17
3977,statistical testing,17
1734,experiment,17
1740,experimentation,17
85,agile,17
1785,financial,17
780,collaborating,16
544,business insights,16
1845,french,16
39,acquisition,16
2952,pandas,16
3185,processes,16
2421,machine learning models,16
2997,perl,16
830,compliance,16
1905,german,16
505,build,16
516,business acumen,15
269,applied math,15
2116,influence,15
1059,customer segmentation,15
1737,experimental design,15
750,coaching,15
1135,data exploration,15
2183,integration,15
4291,time series analysis,14
3246,productivity,14
3747,self-starter,14
2936,organize,14
68,advanced analytics,14
813,communications,14
1526,distributed computing,14
3499,reinforcement learning,14
2056,image processing,14
286,architecture,14
855,computer engineering,14
3376,quantitative analysis,14
2649,model development,14
4438,version control,14
1755,exploratory data analysis,14
131,algorithmic,13
2595,methods,13
4396,user experience,13
1728,excel,13
2926,organizational,13
1667,english language,13
2262,javascript,13
1706,etl,13
43,actionable insights,13
1025,customer,13
3543,researching,13
4461,visualisation,13
2660,model performance,13
3476,reduction,13
1716,evaluation,13
2441,maintaining,13
2584,mentorship,13
1168,data manipulation,13
1155,data integration,12
3324,prototype,12
1993,healthcare,12
2131,information retrieval,12
455,bioinformatics,12
1596,e-commerce,12
2240,investment,12
212,analytical techniques,12
217,analytical tools,12
2415,machine learning algorithms,12
3976,statistical techniques,12
2149,innovate,12
2871,operational,12
524,business analytics,12
3520,report,12
683,cleansing,12
1554,document,12
3707,search,12
1281,data wrangling,12
4094,system,12
154,analysing,12
3867,solve problems,12
3326,prototypes,12
2221,interpret,12
2470,manipulation,12
4140,teamwork,12
2761,network analysis,12
1472,devops,12
3215,product management,12
2317,language,12
4409,validate,12
1101,data architecture,12
3978,statistical tests,11
1263,data transformation,11
4332,transfer learning,11
4334,transformation,11
3103,predictive modelling,11
46,active learning,11
1541,distributed systems,11
382,banking,11
4321,train,11
3657,scale,11
4518,work ethic,11
2292,knowledge,11
4516,work,11
3425,random forests,11
3637,scalable,11
3408,querying,11
1042,customer experience,11
3254,professional development,11
4432,verbal,11
873,computing,11
3125,pricing,11
3330,psychology,11
2466,manipulate,11
2440,maintain,11
655,chemistry,11
1373,decision-making,11
1092,data analyses,11
3689,scipy,11
2186,integrity,11
4062,supply chain,11
2444,maintenance,10
1511,discovery,10
1357,debugging,10
3556,responsibility,10
2279,jupyter notebooks,10
1490,digital marketing,10
1629,electrical engineering,10
3399,queries,10
1358,decision,10
